"sequence","id","priority","domain","problem","evidence","codeOwner","acceptance"
"1","LIVE-001","P0/P1","מובייל","320 hotspots קאנוניים מוסתרים: opacity 0 ו-pointer-events none; ה-adapter החי יוצר שש נקודות שגם הן hidden/0×0 בבדיקה.","Browser DOM + computed styles + live-only inline adapter hash","plugins/nadlan-config/assets/showroom-engine/engine.js:370-395","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"2","LIVE-002","P0/P1","מובייל","320 hotspots מוסתרים נשארים tabindex=0 ויוצרים מאות תחנות focus בלתי נראות.","Browser keyboard/DOM audit","plugins/nadlan-config/assets/showroom-engine/engine.js:370-395","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"3","LIVE-003","P0/P1","בחירת דירה","בחירת דירה מהמלאי מעדכנת unit אך משאירה את כרטיס היחידה אלפי פיקסלים מעל המשתמש.","Click replay 390/400 CSS px","plugins/nadlan-config/assets/showroom-engine/engine.js:4106-4140","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"4","LIVE-004","P0/P1","כרטיס יחידה","סגירת הכרטיס מסירה state/URL אך הכרטיס נשאר מוצג עם תוכן ישן.","Click replay + computed display/opacity","plugins/nadlan-config/assets/showroom-engine/engine.js:4106-4140","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"5","LIVE-005","P0/P1","ניווט","קישורי היכולת העליונים href=# אינם מביאים למודל, בחירת דירה או מראה מהחלון.","Click replay 390","public inline renderer","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"6","LIVE-006","P0/P1","ניווט","כפתור בניין ב-progress/section nav נלכד בידי ווידג׳ט הנגישות החופף.","Hit testing 390","theme/project sticky navigation","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"7","LIVE-007","P0/P1","ניווט","CTA מעניין אותי אינו מביא לטופס ההתעניינות.","Click replay 390","project CTA wiring","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"8","LIVE-008","P0/P1","מתקנים","אין facilities/amenities בחוזה, ב-DOM או בחוויית הבחירה.","Payload + DOM + admin audit","plugins/nadlan-config/inc/facility-chips.php:75-90","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"9","LIVE-009","P0/P1","סיור פנים","ארבע סצנות panorama קיימות ב-data אך הממשק חושף רק את הראשונה, ללא קישורי מעבר.","Pannellum runtime + DOM","plugins/nadlan-config/assets/showroom-engine/engine.js:1069-1090","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"10","LIVE-010","P0/P1","סיור דירה","מסלול aurelia_tour הוא background-position על תמונה אחת; אינו סיור 360/POV.","Live route source + click replay","live-only route; no repository match","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"11","LIVE-011","P0/P1","סטודיו","התכנון אינו משתמש בגאומטריית התוכנית האמיתית, חלונות, דלתות, אזורים רטובים או קירות.","Studio DOM + source audit","plugins/nadlan-config/assets/showroom-engine/studio.js","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"12","LIVE-012","P0/P1","סטודיו","Auto arrange הציב רוב פריטי הדוגמה מחוץ לגבולות התוכנית הסינתטית.","Studio click replay 390","plugins/nadlan-config/assets/showroom-engine/studio.js","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"13","LIVE-013","P0/P1","BOM","אין SKU, כמויות, מחיר, BOM מוצג או snapshot שרת לתכנון.","DOM + source + endpoint schema","plugins/nadlan-config/inc/rfp.php:105-117","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"14","LIVE-014","P0/P1","RFP","סיכום הסטודיו נמצא בהודעת lead בלבד ונשמט מ-POST של RFP.","Static code trace","plugins/nadlan-config/assets/showroom-engine/buyflow.js:240-264","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
"15","LIVE-015","P0/P1","ועידה","כפתור וידאו פותח lead/WhatsApp; אין ועידת וידאו, room או media API.","Static code + public source","plugins/nadlan-config/assets/showroom-engine/studio.js:311-317","The corresponding atomic checklist item can become green only with the required evidence; WordPress save/publish remains unblocked."
