screen_id,screen_name,primary_user,job_to_be_done,key_components,mobile_rule,asset_state_rule,acceptance_gate
1,Homepage hero/product board,"buyer, investor, contractor","understand NadLan and choose path","search, paths, trust, project/tool cards","single-column with search first","no fake counts","one H1; no internal words; visible CTAs"
2,Search results map-list,buyer,"browse inventory","map,list cards,filters,empty state","list/map toggle","no fake inventory","no overflow; cards readable; empty state honest"
3,Listing detail,buyer,"inspect one property","gallery,facts,map,contact,source label","sticky contact below facts","missing image state allowed","source and updated date visible"
4,Projects hub,"buyer, contractor","compare new projects","project cards,status labels,city filter","cards stacked","official/concept/missing badge","every card has asset state"
5,Project showroom hero,buyer,"understand project and pick unit","SEO intro,3D model,facade picker,unit card","intro -> model -> picker -> card","concept label if generated","model and picker close; no overlap"
6,Facade/unit picker,buyer,"choose an available apartment","bitmap facade,polygons,status colors,dismiss","dock/collapse on mobile","no CSS fake grid","click zones obvious and contained"
7,Selected apartment card,buyer,"decide next action","unit facts,view,tour,price,contact","sticky below picker","price estimate non-binding","dismiss works; actions clear"
8,View from apartment,buyer,"see surroundings/view","Mapbox/lookaround,sea/park/context,error state","full-width panel","missing/error visible","no dead button"
9,Interior tour,buyer,"walk inside apartment","tour iframe,floor plan,rooms,missing state","vertical room journey","concept/official/missing label","no fake Matterport"
10,Investor price panel,investor,"understand price/risk","range,disclaimer,source rows,CTA","compact facts table","NEEDS_VERIFICATION for unsupported numbers","disclaimer visible"
11,Sde Dov district,buyer,"understand district context","project comparison,map,schools,transport","section cards","data source/date required","district owns district query"
12,Professional directory,buyer,"find verified help","category tabs,profile cards,verified badges","category filter first","no fake reviews","taxonomy balanced"
13,Join Pro,professional,"understand paid offer","packages,benefits,proof,CTA","packages stacked","no internal Woo text","commercial copy clean"
14,Legal/tax guide,buyer,"learn legal/tax issue","byline,source dates,FAQ,disclaimer","readable article rhythm","LEGAL_REVIEW required","headings align above paragraphs"
15,International buyer,foreign buyer,"navigate Israel buying process","language cards,legal,tax,project links,CTA","language cards first","localized not raw translation","hreflang plan noted"
