"path","category","bytes","sha256"
"archive/build-release-package.ps1","archive","7316","fcea7671ba9d4d55b80898d90f933d759d8b90b5767096f89bd4e545b91f7bc1"
"archive/conversation-and-process-summary.md","archive","30510","26bed808870675cb28c4c0118deb4cc0601a8e8ae3cf9c4d268f2ff5577f13ad"
"archive/nadlan-unit-journey-bundle-2026-08-08.zip","archive","9169524","c3397eb35db830fcf57b42893d2294a061a5652db70c8ef0558c878a2523828b"
"archive/PACKAGE-EXCLUSIONS.md","archive","1355","8c2e1a9dc92f2149ff646d575e1890513a59f402c88bdd192f60ed280db88ff9"
"archive/PRIOR-BUNDLE-README.md","archive","1584","5bc4ddd86ce411dfe92e81d1c97732b69f23ca4119cae0dbf8896070f064798f"
"archive/prior-live-evidence/toha2-mobile-selected.png","archive","69196","8e0b6c075e1256c81b96eb8cf7963549823bd026cf05a6b10f2e1c2fbaa30cdf"
"archive/prior-live-evidence/toha2-mobile-view-tool.png","archive","239692","fdd69e5ff0490b30e053ced49333d5d8e907a56a3d3e1e97aaac44b9b2164fae"
"archive/REPORT-BUILD-DIAGNOSTICS.md","archive","1617","568632a625c700cf9a29b50df984b696cd380c14fd2e2430f7458a829a777176"
"archive/verify-release-package.ps1","archive","12099","f50f5f019534f5038f26a8f176dbe3ef0bf6f60f188d4ab47b0b289a6307fe58"
"data/buyer-question-gap-matrix.csv","data","86435","c2ad977429ef32e68a3fc14f7faa8b9a994c6b853706c09a70893693ffedfa8d"
"data/competitor-pattern-matrix.csv","data","23539","25eb8d2d50d00182db496ef04240c45438bca121dc42c953f1f0377bf3dca5f0"
"data/data-dictionary.csv","data","111677","8b40b367a1766ade46d8f7692363e893c194103d022605c05b8cac42e060f0a1"
"data/gap-field-crosswalk.csv","data","19721","6e1a23cf746262f457259c7a4cf7108ea278bdd53cc0da7770bec2b391bfdb9b"
"data/source-url-register.csv","data","28738","9ecf5766202da99a9cd9cf2cc36b24b8160ed2acdd73e6745830839f75b290d7"
"data/the-park-fact-matrix.csv","data","45847","0096dab4dff7176ed4b29c6278add53d490f9d41d23726e1e940432e21a38227"
"data/toha2-fact-matrix.csv","data","62583","067b259e6d26fe9bcdf99b70eff7b9154800a8f041acd21c30a1fa4258f3bfd2"
"evidence/current-park-1280x800.png","evidence","491570","20aadaffb071beee80f41aafd057d88bb878c397dcd2c7523fd36355b5c69e60"
"evidence/current-park-375x812.png","evidence","81992","a1df3ad99022abf52b5096498a76c800f71cf8d56ddef92684dba2339b2b5eb4"
"evidence/current-toha2-1280x800.png","evidence","424942","8f830e10b1c1bfc7bd76529494d28394ac42db376dfc0c29988dd775f86f7f97"
"evidence/current-toha2-375x812.png","evidence","75219","9b68d545817ad40a5d4dc0213ea956f91ff246258f6b220a7d68ea9e9abae3ed"
"evidence/journey-interaction-audit.mjs","evidence","11550","d4cab1e6759b1c9ceda78ed1a03500bef8ea65ed423e761b6a6215c2bea76dcf"
"evidence/language-buyer-probe.mjs","evidence","4241","44fa2cd8f4ba24639e716440a5bd2e816654c4723299acd10c515dc3553bfb4f"
"evidence/live-dom-probe.mjs","evidence","5700","52248f3f6324bfdf772dab3028d301ad9d15b2d455c5bd6f746e00eaf4f90438"
"evidence/map-truth-probe.mjs","evidence","2792","3fd2f0ba0aea147d20d738e78cb1e7f61ba0b4d7c2864a8900d36882bf3cf84a"
