requirement,current_evidence,status,gap,next_action,priority
current_site_evidence,"Live-audit screenshots copied into strategy/lovable/nadlan-report2-rtl-assets and outputs; strategy/01-current-site-audit.md; war-room HTML references home/projects/professionals/project evidence",partial,"Need final post-UPress Stage 1 public trust screenshots and broader route coverage after cache clear","Run final Stage 1 public QA screenshots for homepage/projects/professionals/project/sitemap/mobile and attach report",P0
lovable_assisted_strategy,"Lovable Report 0, Report 1, recovered Report 2; next no-compromise Report 3A prompt saved",partial,"Lovable project is currently shell/stuck in Chrome; no Report 3A-3G, no Lovable design/report continuation after Report 2","Recover Lovable in a clean project or dashboard, then run Report 3A money keyword expansion followed by 3B-3G",P0
keyword_universe,"225 clean Report 2 rows in strategy/04-keyword-master-universe.csv and Excel workbook",partial,"225 rows are foundation, not full universe; no metrics from Semrush/GSC; no all-money-keyword expansion batches","Run controlled expansion batches for resale/rentals/projects/tools/professionals/international and add volume/KD/CPC later",P0
keyword_to_page_mapping,"Report 2 has suggested_slug and page type; page-architecture-map.csv has 39 canonical page templates",partial,"No join table mapping every keyword row to page_id, canonical owner, parent hub, and support role","Create keyword-to-page-owner.csv from the 225 rows and architecture map; add canonical owner/status columns to workbook",P0
page_architecture,"strategy/war-room/page-architecture-map.csv with 39 page templates; strategy/06-site-architecture.md",partial,"Architecture is template-level; needs existing URL inventory, redirect/noindex decisions, canonical/noindex map, and route conflict scan","Create existing-url-to-target-architecture audit and canonical/noindex decision table",P0
anti_cannibalization_governance,"strategy/23-money-keyword-expansion-mandate.md and strategy/24-source-of-truth-cannibalization-system.md",partial,"Governance is documented but not implemented in WordPress admin; no Registry CPT/ACF/Admin Columns/PublishPress gate yet","Design and implement private keyword_registry workflow or importable registry spec",P0
listing_marketplace_ux,"strategy/10-listings-ux-spec.md; ux-build-spec.csv; war-room listing mockup",partial,"Need field-level listing data schema, lead payload, compare/save states, empty states, mobile drawer spec, tracking spec","Create listing-search-product-spec.md plus data schema and analytics events",P0
project_showroom_ux,"strategy/11-project-showroom-3d-spec.md; strategy/war-room/showroom-rebuild-execution-packet-rtl.html; strategy/war-room/project-showroom-state-machine.csv; strategy/war-room/project-showroom-admin-field-matrix.csv; strategy/war-room/project-showroom-unit-schema.json; strategy/war-room/project-showroom-state-machine-rtl.html",present_build_ready_spec_not_implemented,"Showroom now has state machine, unit/asset schema, admin field matrix, sample payload validation, and screenshot-tested owner report; live WordPress implementation and contractor-approved asset package still missing","Implement the state machine in runtime, connect unit selection to visual focus/facade/map/tour states, capture every state on desktop and mobile",P0
professionals_directory_ux,"ux-build-spec.csv; page-architecture-map.csv; professionals-directory-product-spec.csv; professionals-verification-policy.csv; professionals-routing-matrix.csv; professional-profile-schema.json; professionals-directory-execution-packet-rtl.html",present_build_ready_spec_not_implemented,"Professionals now have category/page model, verification statuses, profile schema, disclosure policy, contact routing, source anchors, and anti-cannibalization rules; live directory, verified provider database, legal/finance review, and lead routing are still missing","Build the private professional registry and one verified category prototype, then capture hub, category, city-category, profile, empty, and lead states on desktop and mobile",P0
visual_design_direction,"Readable RTL war-room HTML with four mockups and current-site images",partial,"Mockups are static low/mid fidelity; no mobile screenshots, no design tokens, no component library, no Lovable/Figma/Canva high-fidelity visuals","Create design tokens, responsive page mockups, and page-specific visual specs for homepage/listing/project/pro profile",P1
