slug,url,title,city,words,has_3d,hotspots,langs_present,langs_missing,branded_title,notes
דניה,https://nad-lan.co.il/projects/%d7%93%d7%a0%d7%99%d7%94/,דניה - דירות למכירה | נדלן,,114,no,0,,ar+en+fr+ru,no,wave-1
ויצמן-ז-בוטינסקי,https://nad-lan.co.il/projects/%d7%95%d7%99%d7%a6%d7%9e%d7%9f-%d7%96-%d7%91%d7%95%d7%98%d7%99%d7%a0%d7%a1%d7%a7%d7%99/,ויצמן-ז/בוטינסקי - דירות למכירה | נדלן,,114,no,0,,ar+en+fr+ru,no,wave-1
בר-כוכבא-2,https://nad-lan.co.il/projects/%d7%91%d7%a8-%d7%9b%d7%95%d7%9b%d7%91%d7%90-2/,בר כוכבא - דירות למכירה | נדלן,,116,no,0,,ar+en+fr+ru,no,wave-1
רבי-עקיבא-2,https://nad-lan.co.il/projects/%d7%a8%d7%91%d7%99-%d7%a2%d7%a7%d7%99%d7%91%d7%90-2/,רבי עקיבא - דירות למכירה | נדלן,נהריה,246,no,0,,ar+en+fr+ru,no,wave-1
שדרות-הגעתון,https://nad-lan.co.il/projects/%d7%a9%d7%93%d7%a8%d7%95%d7%aa-%d7%94%d7%92%d7%a2%d7%aa%d7%95%d7%9f/,שדרות הגעתון - דירות למכירה | נדלן,נהריה,246,no,0,,ar+en+fr+ru,no,wave-1
אנצו-סירני-38-42,https://nad-lan.co.il/projects/%d7%90%d7%a0%d7%a6%d7%95-%d7%a1%d7%99%d7%a8%d7%a0%d7%99-38-42/,אנצו סירני 38-42 - דירות למכירה | נדלן,גבעתים,248,no,0,,ar+en+fr+ru,no,wave-1
שי-עגנון-ההסתדרות,https://nad-lan.co.il/projects/%d7%a9%d7%99-%d7%a2%d7%92%d7%a0%d7%95%d7%9f-%d7%94%d7%94%d7%a1%d7%aa%d7%93%d7%a8%d7%95%d7%aa/,שי עגנון ההסתדרות - דירות למכירה | נדלן,אשקלון,251,no,0,,ar+en+fr+ru,no,wave-1
כפר-גבירול,https://nad-lan.co.il/projects/%d7%9b%d7%a4%d7%a8-%d7%92%d7%91%d7%99%d7%a8%d7%95%d7%9c/,כפר גבירול - דירות למכירה | נדלן,רחובות,251,no,0,,ar+en+fr+ru,no,wave-1
מנדלבלט,https://nad-lan.co.il/projects/%d7%9e%d7%a0%d7%93%d7%9c%d7%91%d7%9c%d7%98/,מנדלבלט - דירות למכירה | נדלן,הרצליה,252,no,0,,ar+en+fr+ru,no,wave-1
גשם-אלי-כהן,https://nad-lan.co.il/projects/%d7%92%d7%a9%d7%9d-%d7%90%d7%9c%d7%99-%d7%9b%d7%94%d7%9f/,גשם - אלי כהן - דירות למכירה | נדלן,נהריה,253,no,0,,ar+en+fr+ru,no,wave-1
