"slug","facility","exists","source_url","note"
"rainbow-tel-aviv","designed_lobby","yes","https://rainbowtlv.com/complex.html","Official project site says every building has an impressive entrance lobby with stylish seating areas."
"rainbow-tel-aviv","gym","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor lists a gym among the complex facilities."
"rainbow-tel-aviv","pool","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor explicitly lists two swimming pools."
"rainbow-tel-aviv","spa","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor explicitly lists spa spaces."
"rainbow-tel-aviv","residents_room_or_lounge","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor explicitly lists a residents club."
"rainbow-tel-aviv","workspace","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor explicitly lists work areas."
"rainbow-tel-aviv","retail_floor","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Project contractor states that the complex includes commercial areas."
"rainbow-tel-aviv","parking","yes","https://www.ashtrom.co.il/projects/rainbow-tlv","Underground parking spans four levels; number of spaces is not stated."
"rainbow-tel-aviv","bicycle_parking","unknown","","No project-specific public source found."
"rainbow-tel-aviv","storage","unknown","","No project-specific public source found."
"rainbow-tel-aviv","generator","unknown","","No project-specific public source found."
"rainbow-tel-aviv","elevators","unknown","","No project-specific public source found."
"rainbow-tel-aviv","kindergarten_or_public_space","unknown","","No project-specific public source found."
"rainbow-tel-aviv","shared_roof","yes","https://rainbowtlv.com/","Official project site states that an infinity pool and bar are on the roof."
"rainbow-tel-aviv","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","designed_lobby","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","gym","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","pool","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","spa","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","residents_room_or_lounge","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","workspace","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","retail_floor","yes","https://apps.land.gov.il/IturTabotData/takanonim/telmer/5050357.pdf","The statutory plan assigns lot 150 a commercial frontage and 284 sqm of commercial rights."
"migdalei-hayam-sde-dov","parking","yes","https://apps.land.gov.il/IturTabotData/takanonim/telmer/5050357.pdf","The statutory plan assigns lot 150 18000 sqm of car-parking rights; the number of spaces is not stated."
"migdalei-hayam-sde-dov","bicycle_parking","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","storage","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","generator","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","elevators","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","kindergarten_or_public_space","unknown","","The statutory plan marks a pedestrian passage through the lot but not a public facility inside the building."
"migdalei-hayam-sde-dov","shared_roof","unknown","","No project-specific public source found."
"migdalei-hayam-sde-dov","guard_or_staffed_lobby","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","designed_lobby","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","gym","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","pool","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","spa","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","residents_room_or_lounge","yes","https://www.ome.co.il/project/%D7%A9%D7%93%D7%94-%D7%93%D7%91/","The project architect lists a residents' club on the 14th floor."
"shikun-binui-sde-dov","workspace","unknown","","No project-specific public source found."
"shikun-binui-sde-dov","retail_floor","yes","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%93%D7%99%D7%95%D7%9F%20%D7%91%D7%A2%D7%99%D7%A6%D7%95%D7%91%20%D7%99%D7%97%D7%99%D7%93%D7%AA%20%D7%AA%D7%9B%D7%A0%D7%95%D7%9F%208%20%D7%9E%D7%92%D7%A8%D7%A9%20109%20%D7%90%D7%A9%D7%9B%D7%95%D7%9C%20%D7%A9%D7%93%D7%94%20%D7%93%D7%91.pdf","Municipal design documents allocate 560 sqm of commerce on the ground floor."
