date,category,page,url,viewport,state,element,client_width_px,client_height_px,scroll_width_px,scroll_height_px,scroll_y_px,top_px,bottom_px,nested_scroll,result,confidence,notes
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,initial,.nl-stagewrap,353,471,,,,,,false,measured,high,"ייתכן rounding של פיקסל אחד בין טעינות"
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-selected-plan,#nl-panel,353,292,,,,179,471,false,measured,high,"הפאנל מכסה בערך 62 אחוז מן הבמה"
2026-08-08,overflow,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-selected-plan,#nl-panel-body,,291,,1052,,,,true,fail,very-high,"scrollHeight/clientHeight=3.61"
2026-08-08,overflow,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-selected-view,#nl-panel-body,,291,,1468,,,,true,fail,very-high,"scrollHeight/clientHeight=5.04"
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-selected-view,.nl-tabpane,321,630,,,,,,false,measured,high,"ה-pane גדול מן הפאנל שמכיל אותו"
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,unit-selected-view,.nl-winstage__map,,341,,,,,,false,measured,high,"גובה בקירוב בהתאם ל-42vh"
2026-08-08,context,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,before-inventory-select,.nl-theater,,,,,3530.86,-1643.99,,false,measured,very-high,"התיאטרון כבר מעל ה-viewport בעת בחירה מן המלאי"
2026-08-08,context,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,after-inventory-select,#nl-panel,,,,,3530.86,-1464.48,-1171.62,false,fail,very-high,"scrollY לא השתנה וכל הפאנל נפתח מעל המסך"
2026-08-08,document-position,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,inventory-test,.nl-theater,,,,,,1886.9,,false,measured,high,"top ביחס למסמך"
2026-08-08,document-position,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,inventory-test,#nl-panel,,,,,,2066.4,,false,measured,high,"top ביחס למסמך"
2026-08-08,document-position,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,375x812,inventory-test,.nl-ucard.is-active,,,,,,3750.1,,false,measured,high,"top של כרטיס המלאי הפעיל ביחס למסמך"
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,1280x800,unit-selected,.nl-stagewrap,1238,600,,,,,,false,measured,high,"במת דסקטופ"
2026-08-08,layout,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,1280x800,unit-selected,#nl-panel,430,600,,,,,,false,measured,high,"פאנל הצד נראה שימושי אך מכיל scroll owner"
2026-08-08,overflow,Rainbow,https://nad-lan.co.il/projects/rainbow-tel-aviv/,1280x800,unit-selected-view,#nl-panel-body,,600,,1444,,,,true,fail,high,"גלילה פנימית קיימת גם בדסקטופ"
2026-08-08,overflow,Duo,https://nad-lan.co.il/projects/duo-tel-aviv/,375x812,unit-selected,#nl-panel-body,,291,,941,,,,true,fail,high,"אותו shell משותף"
2026-08-08,overflow,Duo,https://nad-lan.co.il/projects/duo-tel-aviv/,1280x800,unit-selected,#nl-panel-body,,600,,949,,,,true,fail,high,"אותו shell משותף"
2026-08-08,overflow,Ashira,https://nad-lan.co.il/projects/ashira-sde-dov/,375x812,unit-selected,#nl-panel-body,,291,,972,,,,true,fail,high,"אותו shell משותף"
2026-08-08,overflow,Ashira,https://nad-lan.co.il/projects/ashira-sde-dov/,1280x800,unit-selected,#nl-panel-body,,600,,956,,,,true,fail,high,"אותו shell משותף"
