need_or_query,canonical_owner,existing_role,new_guide_role,may_use_in_body,link_required,risk
פרויקטים חדשים,/projects/,בעל הכוונה המסחרית הרחבה,המדריך מסביר כיצד להעריך איכות,"כן, פעם אחת בהקשר",כן,גבוה מאוד
פרויקטים חדשים בתל אביב,עמוד העיר המאומת לאחר תיקון taxonomy,בעל הכוונה הגאוגרפית והמסחרית,דוגמה מקומית בלבד,כן,כן,גבוה מאוד
דירות יוקרה בתל אביב,"אשכול דירות, פרויקטים ומחירים בתל אביב",בעל כוונת הנכס והזמינות,הגדרה הנדסית ותפעולית בלבד,"כן, לא ב-H1",כן,גבוה
פרויקטים בשדה דב,אשכול שדה דב והפרויקטים,בעל הכוונה הגאוגרפית,"מקרי דוגמה למיקום, ים ופסיליטיז",כן,כן,גבוה מאוד
קניית דירה בפרויקט חדש,מדריך קניית דירה,בעל התהליך הכללי,שכבת איכות בנייה ומערכות,כן,כן,בינוני עד גבוה
מה לבדוק לפני קניית דירת יוקרה,מדריך הדגל בשלב ראשון,אין בעלים מסחרי מובהק שנצפה,כוונה משנית מרכזית,כן,לא,נמוך עד בינוני
איך בונים פרויקט יוקרה,מדריך הדגל,אין עמוד קיים שנצפה,יעד מקצועי משני,כן,לא,נמוך
מה הופך בניין ליוקרתי,מדריך הדגל,אין עמוד קיים שנצפה,שאלת מסגרת,כן,לא,נמוך
איכות בנייה בפרויקט חדש,מדריך הדגל,מדריך הקנייה נוגע בתהליך,שאלת ביצועים ובקרה,כן,קישור למדריך הקנייה,נמוך עד בינוני
מפרט טכני של דירת יוקרה,"מדריך הדגל בקצרה, כתבת עומק אם הנתונים מצדיקים",אין עמוד מאומת,להסביר מה המפרט מגלה ומה הוא מסתיר,כן,בהמשך,בינוני
אקוסטיקה בדירה חדשה,כתבת עומק ייעודית,אין עמוד מאומת,תקציר וקישור,כן,כן לאחר פרסום,נמוך
מעטפת מגדל מגורים,כתבת עומק ייעודית,אין עמוד מאומת,תקציר וקישור,כן,כן לאחר פרסום,נמוך
בריכה וספא בבניין מגורים,כתבת עומק ייעודית,עמודי פרויקטים מחזיקים את המתקנים הספציפיים,השיטה ההנדסית והתפעולית,כן,כן דו-כיווני,בינוני
דמי ניהול במגדל יוקרה,כתבת עומק ייעודית בשלב שני,קיים עמוד מסחרי בלבד,הקשר מגורים ומחזור חיים,כן,אין קישור לעמוד המסחרי כתחליף,בינוני
בית חכם בדירת יוקרה,כתבת עומק ייעודית,אין עמוד מאומת,תקציר על פתיחות ושדרוג,כן,כן לאחר פרסום,נמוך עד בינוני
שמות פרויקטים,עמוד כל פרויקט,בעל הכוונה הניווטית,מקרה בוחן מקומי בלבד,כן,כן,גבוה מאוד
