source_url,target_url,context,suggested_anchor,reciprocal_link,target_status,publication_phase,notes
/guides/ultra-prime-construction/,/projects/,לאחר שהקורא למד כיצד לבחון איכות והוא מוכן לעבור למאגר,למאגר הפרויקטים החדשים,"כן, מאזור מדריכים או בדיקות לפני רכישה",קיים,השקה,קישור אחד ברור בלבד
/projects/,/guides/ultra-prime-construction/,אזור עזר לרוכש לפני בחירת פרויקט,איך בודקים מה באמת עומד מאחורי פרויקט יוקרה,כן,קיים,השקה,לא מכל כרטיס פרויקט
/guides/ultra-prime-construction/,/guides/groundwater-deep-basements/,הרחבה מן הפרק המתאים במדריך,"קרקע, חפירה ומרתפים","כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#לפני-המנוף-הראשון
/guides/groundwater-deep-basements/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #לפני-המנוף-הראשון
/guides/ultra-prime-construction/,/guides/tall-building-wind-comfort/,הרחבה מן הפרק המתאים במדריך,תנועת מגדלים ונוחות ברוח,"כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#השלד-אינו-רק-שאלה-של-חוזק
/guides/tall-building-wind-comfort/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #השלד-אינו-רק-שאלה-של-חוזק
/guides/ultra-prime-construction/,/guides/residential-tower-envelope-glass/,הרחבה מן הפרק המתאים במדריך,"מעטפת, זכוכית ותחזוקת חזית","כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#המעטפת-היא-מכונת-אקלים
/guides/residential-tower-envelope-glass/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #המעטפת-היא-מכונת-אקלים
/guides/ultra-prime-construction/,/guides/residential-service-flows/,הרחבה מן הפרק המתאים במדריך,"מסלולי דיירים, צוות ומשלוחים","כן, לעוגן המדויק במדריך",מוצע,לפי שלב הפרסום,קישור חזרה אל /guides/ultra-prime-construction/#המלון-הנסתר
/guides/residential-service-flows/,/guides/ultra-prime-construction/,חזרה מן העומק אל מסע הפרויקט המלא,לפרק הרלוונטי במדריך האולטרה-פריים,כן,מוצע,לפי שלב הפרסום,להפנות לעוגן #המלון-הנסתר
