source_id,name,publisher,source_type,date,country,supports,reliability,limitation,url
SITE-01,nad-lan.co.il homepage,nad-lan.co.il,Public site page,Observed 2026-08-09,Israel,"Existing navigation, content clusters, project and professional counters",High for site mapping,Public page only; title/meta/canonical need code or CMS validation,https://nad-lan.co.il/
SITE-02,Projects archive,nad-lan.co.il,Public archive,Observed 2026-08,Israel,Commercial project-search intent,High for architecture mapping,Indexed project count differed from homepage at different crawl dates,https://nad-lan.co.il/projects/
SITE-03,Rainbow Tel Aviv,nad-lan.co.il,Project page,Observed 2026-08,Israel,Project-specific facilities and buyer questions,High for page ownership,Project data may rely on official marketing and should not be treated as engineering proof,https://nad-lan.co.il/projects/rainbow-tel-aviv/
SITE-04,DIMRI YAMA Sde Dov,nad-lan.co.il,Project page,Observed 2026-08,Israel,"Pools, spa, fitness and management-fee context",High for page ownership,Facilities list is not a plant or operations specification,https://nad-lan.co.il/projects/dimri-yama-sde-dov/
SITE-05,Einstein Tower,nad-lan.co.il,Project page,Observed 2026-08,Israel,Mixed-use project and logistics context,High for page ownership,Technical details require primary verification,https://nad-lan.co.il/projects/einstein-tower/
SITE-06,Sde Dov Central District,nad-lan.co.il,District guide,Observed 2026-08,Israel,"District, planning and project intent",High for page ownership,Numbers need current plan-source refresh before publication,https://nad-lan.co.il/sde-dov/merkaz/
IL-01,"Building Design Regulations Book, introduction",Planning Administration,Government regulations guide,March 2020,Israel,"Distinguishes goals, functional requirements and prescriptive provisions in Israeli building regulation",Very high,Must verify latest binding regulation text on publication date,https://www.gov.il/files/iplan/construction_regulation/9/
IL-02,Construction licensing and Rishui Zamin,Planning Administration,Government service and process portal,Updated through 2026,Israel,Building permit workflow and planning information systems,Very high,Service page is not a substitute for the law or project permit file,https://www.gov.il/he/Departments/Topics/construction_licensing_information_exchange
IL-03,Rishui Zamin professional portal,Planning Administration,Government service,Observed 2026,Israel,Authorized permit submission system,Very high,"Technical operating information, not substantive legal interpretation",https://www.gov.il/he/service/rishuy_zamin
IL-04,"Green building certification process, SI 5281",Standards Institution of Israel,Standards certification information,Observed 2026,Israel,Certification process and minimum points for the published route,High,The full standard and current mandatory scope must be checked separately,https://www.sii.org.il/he/certificateprocess/
