"Viewport","Entry","Action","Expected","Observed","Status","Evidence"
"390/400","Hero","Tap לבחירת דירה","Chooser visible below sticky chrome","Model/chooser reached, but fixed bars cover lower model","red","browser click + bounding boxes"
"390","Top capabilities","Tap מודל","Scroll to model","No scroll; href=#","red","scrollY before/after"
"390","Top capabilities","Tap בחירת דירה","Scroll to inventory/chooser","No scroll; href=#","red","scrollY before/after"
"390","Top capabilities","Tap מראה מהחלון","Open/preserve selected unit view","No action","red","click replay"
"390","Section nav","Tap בניין","Reach building stage","Accessibility widget captures hit","red","elementFromPoint"
"390","Inventory","Tap unit card","Open same unit card in viewport","unit/URL updates; panel remains far above viewport","red","URL + panel rect"
"390","Unit card","Tap close","Panel hidden and focus restored","URL selection clears; stale panel remains visible","red","computed display/opacity"
"390","Unit card","Tap plan","Plan for same unit","Reachability interfered with by overlapping layers","red","hit test"
"390","Unit card","Tap map/view","Map and real beam update","Underlying wiring updates unit/direction marker, but action is difficult to reach","orange","positive code/click proof + reachability failure"
"390","Media","Open 360","Spherical viewer with scene chooser","Pannellum canvas opens; only first scene exposed, controls clipped","red","canvas + controls rect"
"390","Per-unit tour","Open tour URL","POV room graph","Flat background pan; three labels on one image","red","route source + click"
"390","Studio","Launch studio","Real plan geometry and BOM","Synthetic rectangle; no geometry/BOM; auto-arrange overflow","red","studio DOM/click"
"390","Inquiry","Tap מעניין אותי","Form in viewport with unit context","No scroll to form","red","form rect"
"320","Showroom","Inspect fixed layers","Building remains visible and selectable","Lead/WhatsApp bars cover lower model and hotspots","red","aurelia-live-320-showroom.png"
"1440","Source/SEO","Compare source and runtime title","One title owner","Source/Yoast and observed runtime title disagree","orange","source vs DOM"
