claim,source_url,date
"ToHa2 is owned in equal 50 percent shares by Amot and Gav-Yam","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"The project stands in the Totzeret HaAretz Yigal Alon and Derech HaShalom area of Tel Aviv","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"The GovMap address point used in the prior dossier is Totzeret HaAretz 2 Tel Aviv and is not a cadastral survey","https://www.govmap.gov.il/?c=34.79530687791587,32.07347925682061&z=12&q=%D7%AA%D7%95%D7%A6%D7%A8%D7%AA%20%D7%94%D7%90%D7%A8%D7%A5%202%20%D7%AA%D7%9C%20%D7%90%D7%91%D7%99%D7%91","2026-08-04"
"Amot currently presents 75 floors while Gav-Yam's page uses 77 in prose and 80 in a table creating a public floor-count conflict","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"Ron Arad Associates presents 77 storeys for ToHa2","https://ronarad.com/projects/toha2/","2026-08-08"
"CTBUH presents 76 floors and a 298.2 metre architectural height as a secondary building-database figure","https://www.skyscrapercenter.com/building/toha-tower-2/27419","2026-08-08"
"Amot's Q1 2026 report presents 156,000 sqm of above-ground leasable area and about 45,000 sqm of underground parking area","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot's project page rounds the scheme to 160,000 sqm above ground and 45,000 sqm of parking creating a scope and rounding difference","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","2026-08-08"
"Gav-Yam presents about 201,000 sqm total and 165,000 sqm of offices and business creating another scope difference","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"Ron Arad Associates presents about 100,000 sqm net and therefore uses a different net-area basis","https://ronarad.com/projects/toha2/","2026-08-08"
"The design team includes Ron Arad Associates and Yashar Architects led in this context by Avner Yashar","https://ronarad.com/projects/toha2/","2026-08-08"
"The Q1 2026 Amot report says the structural frame was complete and facade and systems work was underway","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot's Q1 2026 materials target completion and Form 4 toward the end of 2026 and occupancy in Q1 2027","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","2026-05-12"
"Gav-Yam presents Q4 2026 as the project completion period","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"Ron Arad Associates presents October 2026 as the due date","https://ronarad.com/projects/toha2/","2026-08-08"
"Current official Amot reporting presents about NIS 3.45 billion investment and about NIS 315 million annual NOI at full occupancy","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","2026-05-12"
"Other current developer materials round the economics to about NIS 3.4 billion and NIS 300 million producing an 8.8 versus 9.2 percent forecast conflict","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"As of 31 March 2026 Amot reported contracts covering 45 percent of the above-ground leasable area","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"A later press report used a 43 percent contracted figure which should be shown as a dated conflict rather than blended","https://www.globes.co.il/news/article.aspx?did=1001544585","2026-06-02"
"Applying 45 percent to 156,000 sqm gives an arithmetic estimate of about 70,200 sqm contracted and 85,800 sqm not contracted; this is an estimate not inventory","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Google Israel signed for approximately 60,000 sqm in upper floors plus several hundred parking spaces","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","2024-06-25"
"The disclosed Google lease term is ten years with one exit point after five years and a planned Q1 2027 start","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","2024-06-25"
"The original Google disclosure gave approximately NIS 115 million annual indexed rent including parking and therefore does not yield a clean office-sqm rate","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","2024-06-25"
"Amot's Q1 2026 reporting presents the indexed Google annual rent at approximately NIS 120 million","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Google is the only publicly named ToHa2 tenant located in the fresh source search; existing ToHa1 occupiers must not be migrated into ToHa2's tenant list","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","2026-08-08"
"Google's roughly 60,000 sqm is about 38.5 percent of the 156,000 sqm reporting denominator so the official 45 percent figure implies additional unnamed contracts; this is arithmetic inference","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Bizportal estimated a Google office rent of NIS 145-155 per sqm but this is a secondary estimate and not the disclosed blended contract calculation","https://www.bizportal.co.il/capitalmarket/news/article/830470","2024-06-25"
"Gav-Yam presents typical floors of roughly 2,500-3,000 sqm while the architect describes more than 30,000 square feet gross per typical floor","https://ronarad.com/projects/toha2/","2026-08-08"
"Ron Arad Associates describes a central core six vertical-transport zones two sky lobbies a 20 metre entrance lobby and a sky bridge at about 100 metres","https://ronarad.com/projects/toha2/","2026-08-08"
"Ron Arad Associates credits WSP and David Engineers for structural engineering","https://ronarad.com/projects/toha2/","2026-08-08"
"A contractor-sponsored Electra report identifies OTIS equipment and an approximately NIS 100 million vertical-transport package","https://www.calcalist.co.il/article/b1z11g8sk6","2024-01-17"
"The reported ToHa2 vertical-transport package comprises 64 elevators and four escalators including about ten double-deck shuttle lifts","https://www.calcalist.co.il/article/b1z11g8sk6","2024-01-17"
"The same contractor report gives 8 metres per second for double-deck shuttles and about 25 seconds to the upper lobby around floor 50","https://www.calcalist.co.il/article/b1z11g8sk6","2024-01-17"
"The same report describes 36 MRL zone lifts at 2.5 metres per second and two large all-floor freight lifts at 6 metres per second","https://www.calcalist.co.il/article/b1z11g8sk6","2024-01-17"
"The same report describes additional parking kitchen service and bicycle lifts and an expected daily population around 9,000","https://www.calcalist.co.il/article/b1z11g8sk6","2024-01-17"
"Public sources do not disclose final lift grouping tables cabin capacities destination-control settings peak handling calculations waiting-time simulations or commissioned performance","https://ronarad.com/projects/toha2/","2026-08-08"
"Historical 2021 reporting discussed about 1,500 parking spaces across the wider complex and connected garages; it is not a current ToHa2-only count","https://www.calcalist.co.il/real-estate/article/sjmynbelf","2021-10-11"
"The Google filing confirms several hundred parking spaces but does not establish a building-wide tenant parking ratio or current price","https://mayafiles.tase.co.il/rpdf/1600001-1601000/P1600130-00.pdf","2024-06-25"
"Historical reporting said the second tower would contain no retail while the current Gav-Yam page presents restaurants and a green square creating a dated scope conflict","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"The existing ToHa complex markets a ground-level restaurant cafe and shaded public space; that does not prove ToHa2 interior amenity delivery","https://toha.gav-yam.co.il/%D7%92%D7%91-%D7%99%D7%9D-%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-toha/","2026-08-08"
"The developers market ToHa2 as designed or built to LEED Platinum standards but no final public USGBC certificate was located","https://gav-yam.co.il/project/%D7%9E%D7%92%D7%93%D7%9C-tohatwo/","2026-08-08"
"Alcon describes a closed-cavity double-skin facade cable wall skylight Dekton brass and GFRC cladding package","https://alcon.co.il/projects/toha-ii/","2026-08-08"
"The Gav-Yam sustainability section also contains dimensions apparently describing ToHa1 so its claimed percentage savings cannot safely be assigned to ToHa2","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","2026-08-08"
"CBRE H1 2025 records Yigal Alon at NIS 130 per sqm AS IS and 95 percent occupancy and the existing ToHa tower at about NIS 160","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"Newmark Natam H2 2025 records Yigal Alon Class A average rent of NIS 136.67 per sqm and 99.1 percent occupancy","https://www.calcalist.co.il/real-estate/article/sytvebanwg","2026-04-16"
"CBRE H1 2025 records Sarona at NIS 150 per sqm Core and Shell and 97 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"CBRE H1 2025 records Menachem Begin at NIS 145 per sqm AS IS and 98 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"CBRE H1 2025 records Herzliya Pituach at NIS 90 per sqm Core and Shell and 86 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"A live existing-ToHa tower page gives NIS 19 management and NIS 1,100 parking while a unit page gives NIS 26 management showing why ToHa2 terms require its own contract","https://dh-nadlan.co.il/towers/%D7%9E%D7%92%D7%93%D7%9C-toha/","2026-08-08"
"The 2026 Tel Aviv arnona order publishes general office rates of NIS 449.78 in zone 1 NIS 375.07 in zone 2 and NIS 307.74 in zone 3 per sqm per year","https://www.tel-aviv.gov.il/Residents/Arnona/Documents/%D7%97%D7%95%D7%91%D7%A8%D7%AA%20%D7%A6%D7%95%20%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94%20%D7%9C%D7%A9%D7%A0%D7%AA%202026.pdf","2025-06-16"
"The 2026 Tel Aviv arnona order publishes a qualifying software-house rate of NIS 196.49 per sqm per year","https://www.tel-aviv.gov.il/Residents/Arnona/Documents/%D7%97%D7%95%D7%91%D7%A8%D7%AA%20%D7%A6%D7%95%20%D7%94%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94%20%D7%9C%D7%A9%D7%A0%D7%AA%202026.pdf","2025-06-16"
"Colliers reports typical Tel Aviv office leases of 3-10 years a 15-25 percent loss factor and a planning benchmark of 12-14 sqm per employee","https://globaloccupier.colliers.com/emea/tel-aviv/","2026-08-08"
"Colliers reports common security packages of about six months that can reach nine months or more and says subletting commonly needs written landlord consent","https://globaloccupier.colliers.com/emea/tel-aviv/","2026-08-08"
"Colliers reports a landlord fit-out contribution benchmark of USD 260-660 per sqm and a separate Class A fit-out benchmark of USD 2,100 per sqm","https://globaloccupier.colliers.com/emea/tel-aviv/","2026-08-08"
"JLL-derived 2026 reporting places a medium-spec Tel Aviv corporate fit-out above USD 2,500 per sqm and excludes shell works taxes permits incentives and landlord contributions","https://www.calcalist.co.il/real-estate/article/sydxxx2wfl","2026-06-14"
"JLL-derived reporting assigns roughly 35-38 percent of fit-out cost to building work and 25-31 percent to electrical and HVAC systems","https://www.nadlancenter.co.il/article/14678","2026-06-11"
"Cushman and Wakefield's 2026 EMEA guide gives separate Tel Aviv all-in fit-out benchmarks of EUR 1,635 low EUR 1,840 medium and EUR 2,320 high per sqm","https://digital.cushmanwakefield.com/fitoutcostguide-03-2026-emea-regional-en-content-pds-office","2026-08-08"
"Amot's 2025 annual report said half of then-unleased ToHa2 area was planned for shell marketing and half for full-finish marketing","https://mayafiles.tase.co.il/rpdf/1721001-1722000/P1721830-00.pdf","2026-03-01"
"The official office and commercial construction-input index was 135.8 in June 2026 with labour wages up 4.9 percent year on year","https://www.cbs.gov.il/he/mediarelease/Madad/DocLib/2026/221/10_26_221b.pdf","2026-07-15"
"A foreign company maintaining a place of business in Israel must follow the foreign-company registration requirements in section 346","https://fs.knesset.gov.il/14/law/14_lsr_300163.pdf","1999-04-19"
"The Registrar provides the company-registration route for Israeli and foreign companies","https://www.gov.il/he/service/company_registration","2026-08-08"
"Tel Aviv municipality's guide describes subsidiary branch and limited representative-office structures","https://www.tel-aviv.gov.il/en/WorkAndStudy/Pages/FormingaLegalEntityinIsrael.aspx/1000","2026-08-08"
"The Israel Tax Authority requires a foreign trader registering for VAT to appoint an Israeli representative and submit supporting documents","https://www.gov.il/en/service/vat22","2026-08-08"
"Israel's VAT rate is 18 percent from 1 January 2025","https://main.knesset.gov.il/EN/News/PressReleases/Pages/press12324w.aspx","2025-01-01"
"Business-rent withholding is generally 35 percent unless the landlord supplies a valid exemption or reduced-rate certificate","https://www.gov.il/BlobFolder/policy/inst-02-2026/he/IncomeTax_inst-02-2026.pdf","2026-01-01"
"Israel has no general stamp duty according to the Israel-specific tax summary","https://taxsummaries.pwc.com/israel/corporate/other-taxes","2026-06-29"
"Ordinary office use must still be checked against activity-specific business-licensing requirements","https://www.gov.il/he/service/application-for-new-business-license","2026-08-08"
"The Fire and Rescue Authority publishes permit and completion-approval requirements relevant to tenant fit-out changes","https://www.gov.il/he/pages/building_permits?chapterIndex=1","2025-11-17"
"The 2018 planning environmental appendix anticipated later detailed submissions for parking ventilation heating emergency equipment fresh-air intakes and mechanical noise; it is not an as-built specification","https://apps.land.gov.il/IturTabotData/nispachim/telmer/5050425/6.pdf","2018-11-13"
"IL-IX is a multi-site national internet exchange; no tower-specific route or latency follows from that fact","https://en.isoc.org.il/about/news-room/il-ix-launch-2025","2026-06-03"
"AWS operates the Israel Tel Aviv region il-central-1 across three availability zones","https://aws.amazon.com/blogs/aws/now-open-aws-israel-tel-aviv-region/","2023-08-01"
"Google Cloud operates the me-west1 region in Israel","https://cloud.google.com/blog/products/infrastructure/new-google-cloud-region-in-israel-is-now-open","2022-10-19"
"Google Dedicated Interconnect lists Tel Aviv and Modiin colocation options for connectivity to me-west1 but this does not prove a route from ToHa2","https://docs.cloud.google.com/network-connectivity/docs/interconnect/concepts/choosing-colocation-facilities","2026-08-08"
"A prior Google Maps snapshot measured about 900 metres and 14 minutes on foot to Tel Aviv HaShalom station","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.0735594%2C34.7931642&travelmode=walking","2026-08-04"
"A prior Google Maps snapshot measured about 700 metres and 11 minutes on foot to Azrieli Tel Aviv Mall","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.07473293535248%2C34.79186755489448&travelmode=walking","2026-08-04"
"A prior Google Maps snapshot measured about 900 metres and 14 minutes on foot to the active Yehudit Red Line station","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=32.07032624312405%2C34.78834364660483&travelmode=walking","2026-08-04"
"A prior Google Maps snapshot measured about 22.3 kilometres and 25 minutes by car to Ben Gurion Airport subject to traffic","https://www.google.com/maps/dir/?api=1&origin=32.0731121%2C34.7953254&destination=Ben%20Gurion%20Airport&travelmode=driving","2026-08-04"
"The official Tel Aviv GIS business-zone layer returns zone 1 for the ToHa2 dossier point","https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/IView2/MapServer/588/query?f=pjson&geometry=34.7953068779%2C32.0734792568&geometryType=esriGeometryPoint&inSR=4326&spatialRel=esriSpatialRelIntersects&outFields=*","2026-08-08"
"The national public-transport GTFS feed was used to verify scheduled stops and route numbers near the project point","https://gtfs.mot.gov.il/gtfsfiles/","2026-08-08"
"NTA lists HaShalom in the planned M1 alignment","https://www.nta.co.il/metro/%D7%A7%D7%95-m1/m1-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/","2026-08-08"
"NTA lists HaShalom in the planned M2 alignment","https://www.nta.co.il/metro/%D7%A7%D7%95-m2/m2-%D7%91%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91/","2026-08-08"
"WeWork operates in the existing ToHa complex at Yigal Alon 114; this is not evidence that it will occupy ToHa2","https://www.wework.com/he-IL/buildings/toha--tel-aviv--israel","2026-08-08"
"Novartis lists an address in the existing ToHa complex; this is not evidence that it will occupy ToHa2","https://www.novartis.com/il-he/about/contactil","2026-08-08"
