slug,title,content_type,category,status,word_count,html_path,image_path,source_count
ayalon-roof,קירוי איילון: פארק עירוני מעל התשתית שמחלקת את העיר,project,פרויקט מטרופוליני,תכנית אב מאושרת,1180,projects/ayalon-roof.html,assets/img/ayalon-roof.png,4
sde-dov,רובע שדה דב: עיר חדשה בין החוף לשכונות הצפון,project,שכונה חדשה,תכניות מאושרות ומימוש בשלבים,1155,projects/sde-dov.html,assets/img/sde-dov.png,4
sde-dov-participation,שדה דב ושיתוף הציבור: כיצד הערות תושבים נכנסות לתכנון,project,שיתוף ציבור,הליך שיתוף ועדכון מתמשך,1011,projects/sde-dov-participation.html,assets/img/sde-dov-participation.png,3
northwest-3700,צפון־מערב 3700: הרובע הבא לאורך החוף הצפוני,project,שכונה חדשה,תכנון מפורט בחמישה מתחמים,1025,projects/northwest-3700.html,assets/img/northwest-3700.png,4
kikar-atarim,"עיר כיכר ים: העתיד של כיכר אתרים, המרינה ובריכת גורדון",project,מרחב חוף,מדיניות והליכי תכנון,1019,projects/kikar-atarim.html,assets/img/kikar-atarim.png,3
kfir-renewal,התחדשות שכונת כפיר: מן החצר המרכזית לתכנית מפורטת,project,התחדשות שכונתית,תכנית מפורטת בקידום,978,projects/kfir-renewal.html,assets/img/kfir-renewal.png,3
hatikva-reparcelation,איחוד וחלוקה בשכונת התקווה: כשהקרקע מקבלת כתובת ברורה,project,הסדרת מקרקעין,איחוד וחלוקה במימוש הדרגתי,1036,projects/hatikva-reparcelation.html,assets/img/hatikva-reparcelation.png,4
southeast-renewal,"ניר אביב, נווה חן ונווה אליעזר: התחדשות בלי למחוק את כל הקיים",project,התחדשות שכונתית,מסמך מדיניות מאושר,966,projects/southeast-renewal.html,assets/img/southeast-renewal.png,3
levana-renewal,שכונת לבנה: התחדשות בקצה פארק בגין,project,התחדשות שכונתית,מסמך מדיניות ותכנון המשך,929,projects/levana-renewal.html,assets/img/levana-renewal.png,3
ramat-hatayasim,רמת הטייסים: איך מחדשים קיבוץ עירוני ליד הקו הסגול,project,התחדשות שכונתית,מדיניות מאושרת ומרחבי מימוש מעודכנים,975,projects/ramat-hatayasim.html,assets/img/ramat-hatayasim.png,3
florentin,"פלורנטין מתחדשת: רחובות, שימור, הליכה ומגורים בצפיפות גבוהה",project,מרקם עירוני,כמה תכניות ועבודות במקביל,968,projects/florentin.html,assets/img/florentin.png,3
neot-afeka-b,"נאות אפקה ב׳: התחדשות בין שיכונים, מרכז מסחרי ומגדלי גבעת הפרחים",project,התחדשות שכונתית,מסמך מדיניות בהכנה ובשיתוף ציבור,934,projects/neot-afeka-b.html,assets/img/neot-afeka-b.png,3
neve-avivim,נווה אביבים: התחדשות מדודה לשכונה ירוקה ומבוססת,project,התחדשות שכונתית,מסמך מדיניות בהכנה,1224,projects/neve-avivim.html,assets/img/neve-avivim.png,4
yad-eliyahu,יד אליהו: התחדשות בין שיכונים פתוחים לרחובות עירוניים,project,התחדשות שכונתית,מדיניות רובעית ותכניות נקודתיות,1256,projects/yad-eliyahu.html,assets/img/yad-eliyahu.png,6
carmel-market,שוק הכרמל: לשפץ תשתיות בלי לעצור את הדופק,project,תשתיות ומרחב ציבורי,עבודות חידוש והסדרה בביצוע,1243,projects/carmel-market.html,assets/img/carmel-market.png,5
central-station,"התחנה המרכזית החדשה: לתכנן את היום שאחרי, עוד לפני שהוא מגיע",project,התחדשות מתחם עירוני,מדיניות חדשה בהכנה,1179,projects/central-station.html,assets/img/central-station.png,5
how-planning-works,איך קוראים תכנית עירונית בלי להתבלבל בין חזון להיתר,guide,מדריך,מדריך תכנון,951,guides/how-planning-works.html,assets/img/how-planning-works.png,5
infrastructure-2026,תשתיות תל אביב 2026: איך עוקבים אחרי עבודה אמיתית ברחוב,guide,מדריך,מדריך ביצוע,819,guides/infrastructure-2026.html,assets/img/infrastructure-2026.png,4
public-buildings,מבני ציבור בעיר מתחדשת: מה צריך להגיע לפני המפתח לדירה,guide,מדריך,מדריך מוסדות ציבור,809,guides/public-buildings.html,assets/img/public-buildings.png,4
