source_url,syntax_status,observed_access,used_by_slugs,source_types,source_titles,verification_note
https://gisn.tel-aviv.gov.il/,valid-http-url,not-batch-http-tested-in-build,ayalon-roof | central-station | how-planning-works | infrastructure-2026 | kikar-atarim | levana-renewal | neot-afeka-b | neve-avivim | public-buildings | sde-dov | yad-eliyahu,מפה רשמית,מפות GIS עירוניות,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://mavat.iplan.gov.il/,valid-http-url,not-batch-http-tested-in-build,hatikva-reparcelation | how-planning-works | kfir-renewal | kikar-atarim | northwest-3700 | ramat-hatayasim | sde-dov-participation | southeast-renewal,מערכת סטטוטורית,מינהל התכנון: מערכת מידע תכנוני מבא״ת | מערכת מידע תכנוני מינהל התכנון,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://shituf.tel-aviv.gov.il/,valid-http-url,not-batch-http-tested-in-build,neot-afeka-b,שיתוף ציבור,מערכת שיתוף הציבור העירונית,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.gov.il/he/departments/land_registration/govil-landing-page,valid-http-url,not-batch-http-tested-in-build,hatikva-reparcelation,מקור ממשלתי,הרשות לרישום והסדר זכויות מקרקעין,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.nta.co.il/line/%D7%94%D7%A7%D7%95-%D7%94%D7%A1%D7%92%D7%95%D7%9C/,valid-http-url,not-batch-http-tested-in-build,florentin | ramat-hatayasim,תחבורה,נת״ע: הקו הסגול,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=126&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,northwest-3700,עדכון מתחם,עיריית תל אביב-יפו: תכנית מתחם 2 בצפון מערב,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=129&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,northwest-3700,עדכון מתחם,עיריית תל אביב-יפו: תכנית מתחם 5 בצפון מערב,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=22454&ListID=5a9823a9-22cf-40a3-8a59-e9f3305db983&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,carmel-market,עדכון עבודות,עיריית תל אביב-יפו: עבודות תשתית בשוק הכרמל המערבי,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=24763&ListID=5a9823a9-22cf-40a3-8a59-e9f3305db983&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,carmel-market,עדכון עבודות,"עיריית תל אביב-יפו: עבודות לחידוש שוק הכרמל, 21.6.2026","תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
https://www.tel-aviv.gov.il/Pages/MainItemPage.aspx?ItemID=273&ListID=8d2cd950-bb0c-4862-bc4c-c6ca77aa7a1e&WebID=3af57d92-807c-43c5-8d5f-6fd455eb2776,valid-http-url,not-batch-http-tested-in-build,carmel-market,תכנון ועיצוב,עיריית תל אביב-יפו: תכנית עיצוב לשיקום השוק המערבי,"תקינות התחביר נבדקה. לפני פרסום יש לפתוח את הקישור ולבדוק תוכן, תאריך ושינויי כתובת."
