project_key,wp_id,public_url,wp_tier,model_type,glb_mb,admin_content_chars,visible_words,scroll_height_px,units,drawings,environment_points,public_hotspots,mobile_initial_visible_hotspots,unit_sheet_js,viewer_visible_after_inventory_click,h1_count,title_chars,meta_chars,product_generation,primary_forensic_note
rainbow,4464,https://nad-lan.co.il/projects/rainbow-tel-aviv/,premier,custom_gltf,0.81,20434,3801,22258,6,3,15,6,0,no,no,1,66,145,rich_legacy,"הנתונים העשירים ביותר; בחירה מהמלאי אינה מחזירה את הבמה למובייל"
ashira,4744,https://nad-lan.co.il/projects/ashira-sde-dov/,free,custom_gltf,0.47,24768,3695,21810,5,0,0,5,0,no,no,1,48,116,rich_legacy,"יחידות קיימות; תוכניות ונקודות סביבה אינן נמצאות בשדות החדשים"
dimri_yama,4745,https://nad-lan.co.il/projects/dimri-yama/,free,custom_gltf,0.41,22130,3963,22838,4,3,5,4,0,no,no,1,66,103,rich_legacy,"שילוב טוב יחסית של יחידות תוכניות וסביבה; זרימת מובייל נשברת אחרי בחירה"
utopia,4749,https://nad-lan.co.il/projects/utopia-tel-aviv/,free,custom_gltf,0.29,50274,7546,30626,0,7,1,4,0,no,not_applicable,1,52,122,legacy_branch,"ענף נפרד עם שבע תוכניות ושני iframes; אין כרטיסי nl-ucard או theater משותף"
einstein_tower,4867,https://nad-lan.co.il/projects/einstein-tower/,free,custom_gltf,2.31,33488,4567,26624,28,0,0,28,0,yes,no,1,104,142,transition_unit_sheet,"מלאי גדול ומודל כבד; title ארוך מאוד; unit-sheet נטען אך אינו פותר את חזרת המובייל"
duo,4893,https://nad-lan.co.il/projects/duo-tel-aviv/,free,custom_gltf,1.01,28313,5329,24832,5,0,0,5,0,no,no,1,59,139,rich_legacy,"עמוד פרויקט מוביל בצילום GSC ומדווח שהפיק ליד; דרוש ציר זמן כדי לבודד השפעת דיסקליימר"
h_infinity,6548,https://nad-lan.co.il/projects/h-infinity/,free,custom_gltf,0.66,1752,858,10241,52,0,0,52,0,yes,yes,1,51,130,unit_sheet,"מלאי hotspot גדול וזרימת חזרה טובה יחסית; שכבת התוכן והנתונים הסביבתיים דלה"
bnei_dan,6693,https://nad-lan.co.il/projects/bnei-dan-54-56/,free,procedural,0.01,5336,646,9707,8,0,0,8,0,yes,no,1,68,170,procedural_unit_sheet,"unit-sheet קיים אך חזרת המובייל לא עבדה; meta ארוך"
stricker_brandeis,6694,https://nad-lan.co.il/projects/stricker-brandeis/,free,procedural,0.01,5268,632,9691,8,0,0,8,0,yes,yes,1,66,173,procedural_unit_sheet,"חזרת viewer טובה יחסית; meta ארוך ושכבות תוכן דלות"
six8,7219,https://nad-lan.co.il/projects/six8-herbert-samuel/,free,procedural,0.09,1704,797,11455,10,0,0,10,0,yes,yes,1,61,129,procedural_unit_sheet,"זווית פתיחה ייעודית וחזרת מובייל טובה יחסית; hotspots עדיין 0x0 במצב פתיחה"
