tower,section,field,value,status,source_url
"The Park","נתוני יסוד","בעלות","אמות 50%; אלייד נדל""ן 50%","רשמי","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"The Park","נתוני יסוד","כתובת","הלח""י 1-3 לפי אמות; הלח""י 1 לפי אלייד; הלח""י 2 לפי GovMap","סתירה בין מקורות","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/project/the-park/ | https://www.govmap.gov.il/?c=34.82963957588966,32.10367090107063&z=12"
"The Park","נתוני יסוד","קומות","52 לפי אמות; 44 לפי אלייד; 42 קומות משרד בחוברת; 45 קומות משרד בגלובס; 47 לפי ויקיפדיה","סתירה בין מקורות","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/project/the-park/ | https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf | https://www.globes.co.il/news/article.aspx?did=1001521934 | https://en.wikipedia.org/wiki/Amot_HaLehi_Tower"
"The Park","נתוני יסוד","גובה","186.7 מטר","מקור משני בלבד","https://en.wikipedia.org/wiki/Amot_HaLehi_Tower"
"The Park","נתוני יסוד","שטח לשיווק עילי","86,920 מ""ר","דיווח כספי רשמי ל-31.3.2026","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"The Park","נתוני יסוד","שטח משרדים","62,000 מ""ר לפי אתר אמות; כ-80,000 מ""ר ברוטו לפי החוברת","סתירה בהגדרות","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf"
"The Park","נתוני יסוד","שטח מסחר","13,000 מ""ר לפי אמות; כ-12,500 מ""ר ברוטו לפי החוברת","סתירה בהגדרות","https://www.amot.co.il/assets-list/offices/amot-halehi/ | https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf"
"The Park","נתוני יסוד","אדריכל","יסקי מור סיון, MYS Architects","רשמי","https://allied-re.co.il/project/the-park/"
"The Park","נתוני יסוד","השלמה ואכלוס","השלמה במהלך 2026 בדוח; יעד אכלוס Q3 2026 ברשימת אמות; אלייד מסמנת בבנייה","סתירה/עדכון מקורות","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://www.amot.co.il/assets-list/in-progress/ | https://allied-re.co.il/project/the-park/"
"The Park","נתוני יסוד","השקעה","כ-1.3 מיליארד ש""ח במצגת 2026; כ-1.4 מיליארד ש""ח באתר אמות","סתירה בין מקורות","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf | https://www.amot.co.il/assets-list/offices/amot-halehi/"
"The Park","משקיע","NOI ותשואה חזויים","כ-92 מיליון ש""ח לשנה; 7.1% באכלוס מלא","תחזית יזם","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf"
"The Park","שיווק","מסחר חתום","כ-13,000 מ""ר; כ-22 מיליון ש""ח דמי שכירות שנתיים לכל השותפות","רשמי ל-31.3.2026","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf"
"The Park","שיווק","משרדים חתומים","לא פורסמו שיעור השכרה, שטח מושכר או שמות שוכרים","חוסר מידע פומבי","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf | https://www.globes.co.il/news/article.aspx?did=1001544585"
"The Park","שיווק","מחיר מבוקש","75 ש""ח למ""ר לחודש; דמי ניהול 18 ש""ח למ""ר","מודעת תיווך; לא עסקה חתומה","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/"
"The Park","קומות","Lowzone","2,620 מ""ר","שיווק רשמי","https://allied-re.co.il/project/the-park/"
"The Park","קומות","Midzone","1,800 מ""ר","שיווק רשמי","https://allied-re.co.il/project/the-park/"
