"tower","category","title","url","publisher","source_date_or_checked","reuse_status","notes"
"The Park","developer","עמוד הפרויקט The Park","https://allied-re.co.il/project/the-park/","Allied Real Estate","updated 2026-06-30; checked 2026-08-04","Copyrighted; link and cite; obtain permission for images","Project address is shown as Lehi 1; includes specifications, LEED claim, location text and official media."
"The Park","developer","עמוד הפרויקט אמות הלח״י","https://www.amot.co.il/assets-list/offices/amot-halehi/","Amot Investments","checked 2026-08-04","Copyrighted; link and cite; obtain permission for images","Address shown as Lehi 1-3; page contains internal completion-date inconsistencies noted in the dossier."
"The Park","developer marketing","The Park marketing presentation","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","Allied Real Estate and Amot Investments","2024-05-07; checked 2026-08-04","Copyrighted; research/reference only; permission required for republication","Contains transport estimates, parking, lifestyle floor, retail, floor plans and renderings. Pages 8 and 10 conflict on planned Green Line walk time."
"The Park","media","Official project image","https://allied-re.co.il/wp-content/uploads/2023/03/ha-lechi-shtila-0180_0.jpg","Allied Real Estate","checked 2026-08-04","No open license found; written permission required","Direct official image file linked from developer website; request exact photographer and credit line."
"The Park","MAYA filing","Amot Q1 2026 report","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","Amot Investments via MAYA","2026-05-12","Public filing; link and cite; no open republication license identified","Current official financial and marketing-status source through 2026-03-31."
"The Park","MAYA presentation","Amot Q1 2026 investor presentation","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","Amot Investments via MAYA","2026-05-12","Public filing; link and cite; no open republication license identified","Official investor presentation covering project progress and marketing."
"The Park","MAYA filing","Alony Hetz Q1 2026 official English translation","https://mayafiles.tase.co.il/rpdf/1744001-1745000/P1744011-00.pdf","Alony Hetz via MAYA","2026-05-20","Public filing; link and cite; no open republication license identified","Official group-level English source for international readers."
"The Park","press","שוק המשרדים בבני ברק ו-The Park","https://www.globes.co.il/news/article.aspx?did=1001544585","Globes","2026-06-02","Copyrighted press; link and summarize; do not republish article or images","Latest market article identified in the research."
"The Park","press","מצב השיווק של The Park","https://www.globes.co.il/news/article.aspx?did=1001521934","Globes","2025-09-17","Copyrighted press; link and summarize; do not republish article or images","Earlier reported marketing status; retain alongside later filings where figures differ."
"The Park","press","מגדל המשרדים של אמות ואלייד","https://www.calcalist.co.il/real-estate/article/s1hr03c2a","Calcalist","2024-09-09","Copyrighted press; link and summarize; do not republish article or images","Project construction and commercial context."
