keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
דירות למכירה,he,buyer_seller_core,buy_general,buyer,IL,transactional,decision,P1,hub,/buy,organic_sessions,national buy hub linking to city hubs,real listings or honest empty-state,NEEDS_VERIFICATION,Yad2 territory; do not launch without supply
דירות למכירה תל אביב,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P1,city_hub,/buy/tel-aviv,organic_sessions,Tel Aviv buy hub with neighborhoods,real supply,NEEDS_VERIFICATION,
דירות למכירה רמת גן,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P1,city_hub,/buy/ramat-gan,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה ירושלים,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P1,city_hub,/buy/jerusalem,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה חיפה,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P1,city_hub,/buy/haifa,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה הרצליה,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P1,city_hub,/buy/herzliya,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה רעננה,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/raanana,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה כפר סבא,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/kfar-saba,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה פתח תקווה,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/petah-tikva,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה ראשון לציון,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/rishon-lezion,organic_sessions,,real supply,NEEDS_VERIFICATION,
דירות למכירה נתניה,he,buyer_seller_core,buy_city,buyer,IL,transactional,decision,P2,city_hub,/buy/netanya,organic_sessions,,real supply,NEEDS_VERIFICATION,
