"route_id","source_surface","trigger_context","recommended_category","lead_destination","required_context","public_language_rule","anti_cannibalization_rule","analytics_event","status"
"PR-001","project_detail","User reads a new project page","lawyer, mortgage_advisor, appraiser, inspector","Project-aware lead form or verified profile","project reference, city, language, buyer stage","Ask whether the user wants project details, professional help, or both.","Project page remains the canonical owner for project demand.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-002","showroom_unit","User selects an apartment or floor","lawyer, mortgage_advisor, appraiser, interior_designer","Contextual professional tray","project reference, unit reference if allowed, city, stage","Use decision-support language only, no binding advice.","Showroom keeps project/unit intent; professional pages support service intent.","professional_profile_open","build_ready_spec_not_implemented"
"PR-003","listing_detail","User opens a listing detail page","lawyer, mortgage_advisor, inspector, broker","Listing-aware contact split","listing_id, city, property_type, transaction_type","Do not imply NadLan verifies the property unless proof exists.","Listing page owns property demand; service pages handle provider demand.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-004","city_buy_hub","User explores buying in a city","lawyer, mortgage_advisor, appraiser, broker","City service category page","city, transaction_type, language","Use city-service wording, not best-in-city unless evidence exists.","City buyer hub owns apartment intent; professional city category owns service intent.","professional_profile_open","build_ready_spec_not_implemented"
"PR-005","urban_renewal_city","User reads urban renewal city guidance","lawyer, appraiser, architect, inspector","Urban-renewal service module","city, renewal_stage, category","Mention professional review as optional support, not site advice.","Urban-renewal page owns project/process intent; professionals support execution.","professional_profile_open","build_ready_spec_not_implemented"
"PR-006","mortgage_calculator","User completes a mortgage estimate","mortgage_advisor","Calculator follow-up form","calculation_context_if_consented, city, language","Result is an estimate and not a binding offer.","Calculator owns tool intent; advisor page owns service intent.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-007","purchase_tax_guide","User reads tax purchase guidance","tax_advisor, lawyer","Professional review CTA","country_context, buyer_type, language","Use professional-review wording and avoid personalized tax advice.","Guide owns information; professional page owns provider discovery.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-008","foreign_buyer_en","Foreign buyer reads English page","lawyer, tax_advisor, mortgage_advisor, concierge","Concierge intake first, profile selection second","language, country_context, buyer_stage","Say remote purchase support and professional referral, not legal advice.","English guide owns foreign-buyer education; profile owns provider entity intent.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-009","professionals_hub","User selects category or city","selected_category","Category intake or profile list","category, city, language","Show verification state and disclosure before contact.","Hub routes service intent to one canonical page family.","professional_profile_open","build_ready_spec_not_implemented"
"PR-010","professional_profile","User chooses contact","selected_profile","Approved profile contact destination","professional_id, source_surface, disclosure_state","Show contact purpose and consent before sending.","Profile owns provider/entity intent only.","professional_lead_submit","build_ready_spec_not_implemented"
"PR-011","contractor_intake","Provider submits profile","owner_review_queue","Admin review queue","provider_type, documents, contact, disclosures","No public promise before review.","Provider intake is private or noindex.","contractor_asset_uploaded","build_ready_spec_not_implemented"
"PR-012","admin_war_room","Owner reviews stale profile","profile_status_update","Profile registry","profile_id, status, evidence, reviewer","Owner-facing only; never public.","Admin governance does not create indexable content.","admin_publish_gate_passed","build_ready_spec_not_implemented"
