"id","lane","build_decision","required_input","wordpress_surface","seo_rule","mobile_acceptance","screenshot_gate","status"
"LS-001","keyword_registry","Every public listing, project, guide, city page, professional page, and tool must map to one keyword registry row before drafting or indexing.","keyword_id, primary keyword, canonical owner, page role, readiness status, legal/source/asset gates","keyword_registry admin, editor sidebar, import job","No indexed page without keyword_id and canonical owner.","Registry screens remain readable on laptop; public pages show no registry internals.","Capture registry list, edit screen, blocked-publish warning.","ready_to_build"
"LS-002","canonical_marketplace_routes","Build indexable marketplace routes only for canonical money owners: /buy, /rent, /buy/{city}, /rent/{city}, selected neighborhoods and listing detail pages with verified supply.","page_id, canonical_url_owner, supply count, source freshness","theme templates, rewrite rules, sitemap rules","Canonical URLs must be consistent in internal links, sitemap, and canonical tag.","Mobile cards and filters fit 390px without horizontal scroll.","Capture /buy, /buy/{city}, and empty canonical city route.","ready_to_build"
"LS-003","facets_and_filters","Filters improve user navigation but only high-value owner-approved filter combinations become indexable landing pages. Low-value combinations stay noindex or internal search.","filter taxonomy, query parameter map, search volume, supply threshold","listing archive, robots meta, canonical layer","Avoid indexing empty or thin category/filter pages.","Filter drawer opens and closes at 390px; no dead controls.","Capture filters closed/open, applied filter, empty result.","ready_to_build"
"LS-004","listing_card_trust","Every listing card must disclose source, freshness, image status, paid status when relevant, and enough facts to compare without clickbait.","listing source, updated_at, image_source, price_source, paid placement flag","listing card component, data API","Card text must not target a separate keyword from the page owner.","Cards remain scannable in one column at 390px.","Capture desktop grid and mobile list with source/freshness visible.","needs_data"
"LS-005","asset_truth","Do not use generic or unrelated property photos as if they are the real asset. If image proof is weak, show a premium missing-image or concept state.","official image URL, license/source, asset status, alt text","media pipeline, listing card, listing detail","Structured data image must match visible page content and be crawlable.","Image block has stable aspect ratio and no blank beige cards.","Capture official image, concept image, missing image.","ready_to_build"
"LS-006","paid_placement","Paid placement is allowed but must be visibly labeled for users and technically qualified for outbound paid links where applicable.","placement type, advertiser, target URL, disclosure copy","listing ranking layer, outbound link renderer","Paid internal ranking must not become hidden manipulative SEO copy.","Labels fit on mobile without covering image or title.","Capture paid and non-paid cards side by side.","legal_review"
"LS-007","listing_detail","A listing detail page becomes indexable only when it has verified property facts, source freshness, image truth, contact path, and canonical keyword owner.","property facts, source, price, rooms, sqm, location, media, contact routing","listing detail template, schema layer, lead endpoint","One H1, one canonical, schema reflects visible content.","Hero, facts, CTA, and trust note fit first mobile scroll.","Capture first viewport, facts table, lead form, missing-media state.","needs_data"
"LS-008","city_and_neighborhood_hubs","City and neighborhood money hubs combine supply, market context, internal links, guides, professionals, tools, and projects without cannibalizing listings.","city ID, neighborhood ID, supply count, guide owner, tool links, professional links","city templates, internal link module, sitemap","Support pages link to the hub; hub links to filtered inventory only when verified.","Mobile sections stack with clear navigation.","Capture city hub top, inventory block, guide/professional links.","ready_to_build"
"LS-009","international_investor_layer","English investor pages explain Israel purchase paths, projects, taxes, financing, remote buying, and concierge routing without duplicating Hebrew money pages blindly.","language pair, target market, legal review, canonical relationship, hreflang pair","EN templates, hreflang sitemap, investor lead forms","Each localized version references itself and alternates correctly; canonical stays same language.","Language switch is visible and does not break RTL/LTR.","Capture HE and EN pair plus language switch.","partial_ready"
"LS-010","schema_and_structured_data","Use JSON-LD only when it represents visible page content. Prefer BreadcrumbList, Organization, WebSite, Article/Guide where appropriate, and cautious real-estate entity markup outside Google rich-result promises.","schema type, visible facts, image URLs, breadcrumbs, organization data","theme SEO layer, schema generator","Do not mark up hidden, stale, fake, or unrelated content.","No visual effect required, but page content must match schema facts.","Validate sample pages with Rich Results Test after deployment.","ready_to_build"
"LS-011","freshness_and_supply","Marketplace pages need visible freshness and supply thresholds. Empty canonical pages can exist as premium waitlist pages, but thin inventory pages should not be indexed.","supply count, last updated, feed source, stale threshold","listing feed, admin status, archive template","Empty or thin pages are noindex unless approved as strategic money pages with real editorial value.","Empty state is helpful and not deceptive at 390px.","Capture enough supply, low supply, zero supply.","needs_data"
"LS-012","lead_and_measurement","Every contact action carries page_id, keyword_id, listing_id or project_id, language, source route, selected filters, and placement state.","analytics events, lead payload, WhatsApp template, form endpoint","lead endpoint, analytics layer, CTA components","Measurement must not create indexable parameter URLs.","CTA dock does not cover footer or cards.","Capture card CTA, detail CTA, footer with dock.","ready_to_build"
"LS-013","writer_gate","Writers and AI tools may draft only from an approved registry row. Drafts must cite source URLs, choose support role, and link to the canonical money page.","registry row, source URLs, writer, reviewer, allowed support links","WordPress admin, editorial workflow","No support article targets the same primary phrase as the money owner.","Admin workflow readable; public copy avoids internal workflow language.","Capture blocked draft and approved draft metadata.","future_slice"
"LS-014","external_links","Outbound paid or advertorial links must use the correct relationship attribute. Normal editorial links stay natural and useful.","link type, advertiser relationship, URL, anchor text","link renderer, editor helper","Paid links are qualified; internal links point to canonical URLs.","No mobile visual issue.","Audit rendered links after deployment.","legal_review"
"LS-015","qa_release_gate","No marketplace or listing PR ships without screenshots, rendered text scan, link/canonical check, no horizontal overflow, and registry ownership check.","desktop/mobile screenshots, rendered text, URL metadata, registry match","release checklist, QA scripts, evidence folder","QA must prove the broad requirement, not only one happy path.","390px and desktop screenshots stored in repo.","Capture full evidence set for every build slice.","ready_to_build"
