"competitor","main_battlefield","inventory_depth","map_search","new_projects","immersive_or_3d_signal","data_layers","calculators_or_tools","professionals","foreign_buyer_fit","nadlan_build_response"
"Yad2","National classifieds and habit","Very high","Yes","Yes through Yad1","Present in new-project positioning","Valuation and market data through related surfaces","Valuation and insurance/service links","Professional categories exist","Weak English buyer fit","Avoid thin imitation. Build trust-gated supply, project depth, and transaction routing."
"Yad1","New projects and developers","High","Likely project-region browsing","Core product","Strong signal: virtual tour, real window view, data tools, compare and matching","Project and apartment matching","Project comparison and decision tools","Builder/developer ecosystem","Weak English buyer fit","Make contractor-facing project product the core monetization path."
"Madlan","Listings plus projects plus city pages","Very high","Yes by product family","Strong","Limited from source sample","Neighborhood/listing context and city linking","Limited from source sample","Agents and offices appear in ecosystem","Limited English buyer fit","Only index where NadLan has supply or unique data. Use city and project pages carefully."
"OnMap","Map-led search","Medium/unknown by route","Core differentiator","Present","Virtual-tour filter exists","Map drawing and filters","Mortgage calculator around listings","Professionals section exists","Languages shown: HE, EN, RU, FR","Use map interaction, but connect it to project truth, units, surroundings, and leads."
"Nadlan.com","Project portal and project intelligence","Strong in projects","Interactive map layers described","Core product","Tours, video, plans and rich media described","Nearby services, transactions, air, socio-economic, crime","Limited from source sample","Companies and newsletter paths","Limited from source sample","Closest project-page benchmark. NadLan must exceed it with verified assets, unit journey, and owner dashboards."
"Nadlan Center","Content, news, guides, professional authority","Content depth","No direct marketplace from sampled guide","Indirect through content and industry coverage","No","Guides and market/news context","Guide articles and calculators","Industry/editorial authority","Weak transaction flow","Use authoritative guides as support, but do not let guides cannibalize money pages."
"Banks","Finance calculators","No inventory","No","No","No","Financial assumptions and repayment models","Core strength","No","No","NadLan calculators must be transparent and route to finance professionals without implying binding advice."
"Professional directories","Lawyers, appraisers, service providers","High by category","Local filters","No","No","Reviews, verification and locality","No","Core strength","Some language filters","Build verified professional layer tied to each transaction stage."
"Realtor.com international","Foreign buyer discovery","High international index","Yes","Listings, not local contractor depth","No local project immersion from sample","Currency and international filters","Mortgage-adjacent global nav","Global agent system","Strong marketplace familiarity","Use EN hub with currency and remote flow, but differentiate with Israeli project, legal, and concierge context."
"Nefesh B'Nefesh and foreign guides","Education for overseas buyers","No inventory","No","No","No","Process guidance","No","Professional caution","Strong education fit","Pair education with project discovery, concierge intake, and source-reviewed buyer flow."
