"query_id","query","intent","observed_competitor_set","dominant_page_type","nadlan_canonical_owner","build_requirement","do_not_launch_without","priority","evidence_refs"
"SQ-001","דירות למכירה","Buyer transaction","Yad2, Madlan, OnMap","Marketplace hub and listings index","buy_hub","Indexable only with real supply, clear filters, paid/organic separation, map/list UX, trust labels, and lead tracking.","Real listings or honest empty-state policy; canonical and noindex controls for filters.","P0","CS-001; CS-004; CS-006"
"SQ-002","דירות למכירה תל אביב","Buyer local transaction","Yad2, Madlan, OnMap","City listing page","city_buy_hub","City page must have supply, neighborhood filters, map, freshness, ownership rules, and links to projects/tools/professionals.","Verified city supply and source timestamps.","P0","CS-004; CS-007"
"SQ-003","דירות להשכרה תל אביב","Renter local transaction","Yad2, Madlan, OnMap","City rental page","city_rent_hub","Rental pages need real inventory, freshness rules, fraud warnings, contact path, and saved search.","Verified rental supply and stale-listing controls.","P0","CS-001; CS-006"
"SQ-004","פרויקטים חדשים","New project discovery","Yad1, Madlan, Nadlan.com, OnMap","New-project marketplace","projects_hub","Project hub is a primary money page. It needs developer packages, verified assets, project cards, city filters, lead attribution, and 3D readiness state.","Contractor asset truth and package rules.","P0","CS-002; CS-005; CS-008"
"SQ-005","פרויקטים חדשים תל אביב","New project local discovery","Yad1, Madlan, Nadlan.com","City new-project page","projects_city_hub","City project page must rank projects by relevance, not by hidden payment, and expose asset completeness, stage, price source, and neighborhood signal.","Enough approved Tel Aviv projects or a clear noindex/coming-soon state.","P0","CS-002; CS-005; CS-008"
"SQ-006","דירות חדשות מקבלן","Developer/buyer transaction","Yad1, Madlan, Nadlan.com","New apartment/developer index","projects_hub","Use project marketplace plus contractor intake. Offer unit comparison, view/floor plan, finance path, and call/WhatsApp routing.","Developer-supplied assets and approval status.","P0","CS-002; CS-003; CS-005"
"SQ-007","פינוי בינוי תל אביב","Urban renewal project/guide intent","Nadlan Center, municipal pages, developers","Guide plus city authority plus developer content","urban_renewal_city","City renewal page needs official sources, project status explanation, risks, professional routing, and links to relevant projects.","Municipal/source references and review date.","P1","CS-009"
"SQ-008","התחדשות עירונית","Informational and project discovery","Nadlan Center, municipal pages, developers","Guide hub","urban_renewal_hub","Guide hub must support city pages and project pages, not cannibalize them. It should answer process questions and push to verified action paths.","Author/reviewer and source update date.","P0","CS-009"
"SQ-009","מחשבון משכנתא","Tool intent","Banks, Nadlan Center","Calculator/tool page","mortgage_calculator","Calculator must show assumptions, non-binding status, inputs, results, lead path, and version/source date.","Formula assumptions and compliance wording.","P0","CS-010"
"SQ-010","שמאי מקרקעין תל אביב","Professional local intent","Pro.co.il, individual appraisers, directories","Professional category/city directory","professional_city_category","Professional page must include verification, review policy, service type, city, contact path, and transaction context.","Verification policy and anti-pay-to-rank disclosure.","P0","CS-014"
"SQ-011","עורך דין מקרקעין תל אביב","Professional local intent","LawReviews, individual law firms, directories","Professional category/city directory","professional_city_category","Legal professional pages need verified profiles, language/service filters, disclaimers, and routing from buyer/project pages.","Lawyer verification and review policy.","P0","CS-013"
"SQ-012","buy apartment in Israel","Foreign buyer education and transaction","NBN, Realtor.com, brokers, foreign-buyer guides","English guide plus international marketplace","intl_buy_guide","English buyer guide must connect education, project discovery, concierge intake, currency context, legal/tax caution, and remote-buyer flow.","Reviewed legal/tax caveats and English content QA.","P1","CS-011; CS-012"
"SQ-013","apartments for sale in Israel","Foreign buyer marketplace","Realtor.com, global portals, Israeli brokers","International listings index","intl_hub","English Israel hub needs currency, map, city/project filters, remote viewing, concierge, and honest inventory status.","English supply or curated project inventory.","P1","CS-012"
"SQ-014","נדלן בחול דובאי קפריסין יוון","Israeli investor abroad","Foreign investment portals, brokers, country guides","Country investment hub","intl_country_future","Do not index country packs until source, legal, tax, and project partner gates exist. Keep as future backlog until validated.","Country-specific legal/tax review and source registry.","P2","CS-011; CS-012"
