requirement,current_evidence,status,gap,next_action,priority
current_site_evidence,"Live-audit screenshots copied into strategy/lovable/nadlan-report2-rtl-assets and outputs; strategy/01-current-site-audit.md; war-room HTML references home/projects/professionals/project evidence",partial,"Need final post-UPress Stage 1 public trust screenshots and broader route coverage after cache clear","Run final Stage 1 public QA screenshots for homepage/projects/professionals/project/sitemap/mobile and attach report",P0
lovable_assisted_strategy,"Lovable Report 0, Report 1, recovered Report 2; next no-compromise Report 3A prompt saved",partial,"Lovable project is currently shell/stuck in Chrome; no Report 3A-3G, no Lovable design/report continuation after Report 2","Recover Lovable in a clean project or dashboard, then run Report 3A money keyword expansion followed by 3B-3G",P0
keyword_universe,"225 clean Report 2 rows in strategy/04-keyword-master-universe.csv and Excel workbook",partial,"225 rows are foundation, not full universe; no metrics from Semrush/GSC; no all-money-keyword expansion batches","Run controlled expansion batches for resale/rentals/projects/tools/professionals/international and add volume/KD/CPC later",P0
keyword_to_page_mapping,"Report 2 has suggested_slug and page type; page-architecture-map.csv has 39 canonical page templates",partial,"No join table mapping every keyword row to page_id, canonical owner, parent hub, and support role","Create keyword-to-page-owner.csv from the 225 rows and architecture map; add canonical owner/status columns to workbook",P0
page_architecture,"strategy/war-room/page-architecture-map.csv with 39 page templates; strategy/06-site-architecture.md",partial,"Architecture is template-level; needs existing URL inventory, redirect/noindex decisions, canonical/noindex map, and route conflict scan","Create existing-url-to-target-architecture audit and canonical/noindex decision table",P0
anti_cannibalization_governance,"strategy/23-money-keyword-expansion-mandate.md and strategy/24-source-of-truth-cannibalization-system.md",partial,"Governance is documented but not implemented in WordPress admin; no Registry CPT/ACF/Admin Columns/PublishPress gate yet","Design and implement private keyword_registry workflow or importable registry spec",P0
listing_marketplace_ux,"strategy/10-listings-ux-spec.md; ux-build-spec.csv; war-room listing mockup",partial,"Need field-level listing data schema, lead payload, compare/save states, empty states, mobile drawer spec, tracking spec","Create listing-search-product-spec.md plus data schema and analytics events",P0
project_showroom_ux,"strategy/11-project-showroom-3d-spec.md; ux-build-spec.csv; war-room project showroom mockup",partial,"Need explicit state machine, project/unit JSON schema, asset verification checklist, Mapbox/Matterport/GLB fallbacks, admin fields","Create project-showroom-state-machine.md and project-unit-schema.json",P0
professionals_directory_ux,"ux-build-spec.csv; war-room professionals mockup; strategy/24 governance mentions verification",partial,"Need verification methodology, profile schema, sponsored/review policy, category/city templates, contact routing","Create professionals-directory-product-spec.md and verification policy",P0
visual_design_direction,"Readable RTL war-room HTML with four mockups and current-site images",partial,"Mockups are static low/mid fidelity; no mobile screenshots, no design tokens, no component library, no Lovable/Figma/Canva high-fidelity visuals","Create design tokens, responsive page mockups, and page-specific visual specs for homepage/listing/project/pro profile",P1
implementation_backlog,"strategy/backlog/*.md and implementation-plan.md/csv",partial,"Backlog is not tied to page_id/UX component/keyword cluster/acceptance criteria/test evidence","Create sprint-ready backlog table with page_id, task, owner, dependency, acceptance test, evidence artifact",P0
technical_seo_schema,"strategy/16-schema-plan.md and 17-technical-seo-plan.md",partial,"No per-page schema matrix; no sitemap/canonical/noindex implementation table; no current crawl evidence","Create technical-seo-page-matrix.csv for schema, canonical, breadcrumbs, sitemap, index status",P1
serp_competitor_research,"strategy/03-competitor-war-map.md and Report 2 competitive framing",weak,"No query-by-query SERP teardown, no competitor URL inventory, no Semrush/GSC evidence, no content gap metrics","Run SERP/competitor batch after Lovable/Semrush access; save per-query evidence",P0
international_investor_funnel,"Report 2 has 42 intl_investor rows; architecture has /en hub and EN guides",partial,"No English information architecture detail, no legal/tax review workflow, no country-specific investor personas, no EN UX/content mockups","Create EN investor funnel spec and keyword-to-page map for /en",P1
tools_calculators,"Report 2 has 29 tools_calculators rows; architecture maps valuation/mortgage/tax/yield tools",partial,"No calculator formulas, inputs, assumptions, source rules, legal disclaimers, or result UX specs","Create calculator spec pack for valuation, yield, mortgage, purchase tax",P0
monetization,"strategy/13-monetization-plan.md and backlog p1-b2b-monetization.md",weak,"No packages/pricing, lead routing, sponsored disclosure policy, CRM statuses, sales pages, or revenue model","Create monetization operating model and legal disclosure matrix",P1
outreach_and_compliance,"strategy/14-outreach-operating-system.md",weak,"No opt-in/suppression implementation, consent policy, email templates, CRM routing, legal approval", "Create outreach compliance spec before any automation",P1
analytics_kpi,"strategy/18-analytics-kpi-dashboard.md; ux-build-spec events listed; strategy/war-room/analytics-event-dictionary.csv; strategy/war-room/analytics-kpi-execution-packet-rtl.html",present_build_ready_spec_not_instrumented,"Event dictionary, dashboard cards, privacy rules, funnels, and debug gates are now specified, but no live GA/GTM instrumentation or CRM dashboard proof exists","Implement the event layer, connect CRM/source data, capture debug screenshots, then build the owner KPI dashboard",P1
visible_owner_outputs,"outputs contains Report 2 HTML, workbook, source-of-truth HTML, war-room HTML",partial,"Readable outputs exist locally, but no email sent and no single owner index page tying all artifacts together","Create owner-output-index-rtl.html and email after explicit address/approval",P0
repo_state_and_pr,"Branch strategy/nadlan-seo-product-war-plan contains pushed commits 971674b, 7b1f53f, 1b639b2",partial,"Need latest gap audit commit pushed; PR state/URL not updated in this turn","Commit and push gap map, then update PR/body if needed",P0
