surface,component,user_job,required_controls,empty_state,trust_labels,analytics_events,mobile_rule,priority
homepage,portal search band,"Start with buy/rent/projects/professionals/tools without guessing site structure","intent tabs, city/neighborhood search, price/rooms quick filters, submit","Show available entry routes and explain if inventory is limited","last updated, verified routes, no fake counts","home_search_submit, home_tab_change, home_route_click","search first, tabs sticky below header, no hero-only waste",P0
homepage,market modules,"Understand NadLan covers the whole category","buy cards, rent cards, projects, professionals, tools, international","Module explains missing readiness if not live","source of counts, readiness badges","module_click, route_click","2-column cards with compact copy",P0
listing search,filter rail,"Narrow inventory fast","city, neighborhood, price, rooms, sqm, property type, floor, parking, balcony, elevator, mamad, source, updated","No fake listings; invite alert/save search","updated date, source, broker/owner, sponsored disclosure","filter_apply, filter_clear, sort_change","filters in bottom sheet, selected chips visible",P0
listing search,map/list split,"Compare location and inventory","map toggle, list toggle, draw area later, sort, compare","If map unavailable show list and status","map data source, listing freshness","map_toggle, listing_card_view, compare_add","map collapses behind tab on 390px",P0
listing card,scannable result,"Decide whether to inspect a listing","image, price, rooms, sqm, floor, city, neighborhood, updated, source, compare, save, contact","No image placeholder must be labeled","source, updated, broker/owner, verified media","listing_open, save_listing, compare_add, lead_click","fixed card grid; buttons 44px",P0
listing detail,lead conversion,"Contact with context and confidence","sticky contact, WhatsApp/phone/form, compare, save, route to valuation/professionals","If contact missing explain why","listing source, last updated, media rights, sponsored","lead_submit, phone_click, whatsapp_click","contact bar not covering content",P1
projects catalog,project discovery,"Find real new projects by city/area/status","city, area, developer, delivery, status, price band, project state, map/list","No invented project cards","official/concept/missing, source URL, updated","project_filter_apply, project_open, map_toggle","filters compact; project state visible",P0
project page,project summary,"Understand project before opening showroom","project facts, developer, location, source, status, CTA, asset state","Missing data shown as missing, not hidden","official source, concept asset, last updated, disclaimer","project_cta_click, source_click, asset_state_view","summary first, showroom after facts",P0
project showroom,unit exploration,"Explore units without false official claims","floor selector, unit list, view, map, tour, inventory table, lead CTA","If GLB/facade/tour missing show clear missing state","official/concept/missing, source note, not price quote","unit_select, floor_select, tour_open, showroom_lead","model top, card below, no overlay blocking",P0
professionals directory,category search,"Find verified professional help","category, city, specialty, license status, language, availability, compare","No seeded fake profiles","license verified, methodology, sponsored disclosure","pro_filter_apply, pro_profile_open, pro_lead_click","filter drawer and compact cards",P0
professional profile,trust conversion,"Choose a professional safely","credentials, areas, services, language, contact, reviews policy","If verification missing, hold page from index","license/registry, review policy, paid placement","pro_contact_submit, license_click","contact visible but not overpowering",P1
tools,value estimator,"Estimate value without pretending appraisal","address/city, rooms, sqm, floor, condition, confidence range","If data insufficient explain missing inputs","methodology, sources, last updated, not appraisal","estimate_start, estimate_complete, seller_route_click","stepper form, large inputs, no hidden disclaimers",P0
tools,tax/mortgage/yield calculators,"Model transaction decisions","inputs, assumptions, scenario save, related professionals","If legal/source not ready, hold from publish","legal review, source date, assumption disclosure","calculator_start, calculator_complete, pro_route_click","assumptions collapsed but visible",P0
trust center,cannibalization gate,"Prevent bad content and fake authority","registry link, canonical owner, content status, legal/source/asset gates","No page assignment without registry row","owner approval, legal gate, source gate","registry_view, publish_gate_block","admin-first, not public marketing",P0
international,en investor funnel,"Serve foreign buyers without shallow content","English city/project/tool/professional routes, country concerns, legal/tax/mortgage paths","If English support missing, state coming soon, not fake","legal/tax review, English source dates","en_route_click, en_lead_submit","language switch visible; no auto-translation feel",P0
