"id","lane","build_decision","required_input","wordpress_surface","mobile_acceptance","screenshot_gate","status"
"SR-001","asset_truth","Every project must render one honest primary state: official 3D model, official facade/elevation, approved concept, or missing-asset request. Never silently fall back to schematic towers.","project identity, developer, asset status, source URL, official/concept flag","project showroom payload, project meta, project page template","At 390px the primary state is readable before the unit list and does not overflow.","Capture desktop 1440 and mobile 390 for official, concept, missing, and broken states.","ready_to_build"
"SR-002","first_view","The first viewport must sell the project: project name, location, developer/source, visual stage, and one clear action. Long article content starts below the showroom.","project title, location, developer, hero/render, primary lead action","single nadlan_project template","Header and visual stage fit without horizontal scroll; CTA stays in flow or safe sticky area.","Capture first viewport desktop and mobile before scrolling.","ready_to_build"
"SR-003","visual_stage","Use a real facade/elevation image or real 3D model as the buyer surface. Concept sketches are allowed only when clearly marked for owner/internal planning, not as final contractor proof.","official facade image, model URL, poster image, asset source note","theme visual component plus plugin data contract","Model or facade uses stable aspect ratio; no stacked duplicate facades; no fixed card covering the stage.","Capture model/facade idle, selected unit, asset missing, asset error.","needs_assets"
"SR-004","unit_selector","Apartment selection uses a unit table plus visual picker. Selection opens one unit card with floor, rooms, area, direction, view, status, estimate note, and next action.","unit JSON, polygon mapping, floor plan URL, status, estimate source","project showroom JS, REST payload, theme component","Tap targets are at least 44px; selected card becomes a bottom sheet and can close without hiding the picker.","Capture selected unit desktop and mobile drawer open.","ready_to_build"
"SR-005","unit_tabs","Unit card tabs are: plan, view and surroundings, interior tour, advisory and costs, contact. Tabs appear only when data exists, otherwise show a clear unavailable state.","floor plan, map coordinates, view orientation, tour URL, cost assumptions, consultant links","theme component, REST payload","Tabs fit in a horizontal scroll-safe segmented control or stacked buttons at 390px.","Capture each tab selected on mobile for one flagship unit.","ready_to_build"
"SR-006","map_view","Map and surroundings load only after user opens the view tab. Missing token or missing coordinates must show a clean unavailable state without console errors.","map provider token setting, lat/lng, orientation, nearby POI data","project showroom JS, options page, REST payload","Map container has fixed mobile height and never creates page overflow.","Capture map-ready and map-unavailable states.","needs_verification"
"SR-007","interior_ai","Interior planning is a lead magnet, not a fake finished design. It starts from floor plan or approved interior media and offers consultation, budget range, and upgrade options.","floor plan, interior images/tour, renovation assumptions, professional categories","tools module, lead capture, project page tab","Mobile flow has one primary action and no multi-column form.","Capture interior tab plus lead modal.","future_slice"
"SR-008","lead_capture","Every lead carries project, unit, selected tab, language, source page, and asset state. WhatsApp and form must look like one product, not floating leftovers.","lead endpoint, WhatsApp template, analytics event names","plugin lead endpoint, theme forms, floating action rail","Sticky action does not overlap footer or selected card. Footer gets enough bottom spacing.","Capture footer area with CTA visible on desktop and mobile.","ready_to_build"
"SR-009","contractor_packet","Admin must expose a contractor upload checklist: model, facade, plans, unit table, price notes, source permissions, logo, and contact routing.","contractor intake fields, upload destinations, owner approval state","WordPress admin, media library, project meta","Admin is not mobile critical, but owner dashboard must be readable on laptop.","Capture admin checklist and missing-input report.","future_slice"
"SR-010","public_language","Public UI uses buyer language only. Technical labels and internal ranking words remain in code/reports. Buyer sees clear status, source notes, and actions.","approved Hebrew and English copy bank","theme templates, i18n strings, metadata","No visible implementation terms in mobile screenshots.","Run rendered-text scan plus screenshot review.","ready_to_build"
"SR-011","performance","Primary visual is optimized. Heavy 3D, map, and tours lazy-load after intent. Poster image prevents blank stage.","poster, compressed model, lazy rules, preload rules","theme enqueue, shortcode/component renderer","First viewport renders without blank boxes on mobile network simulation.","Capture first paint and loaded state, record asset sizes.","needs_build"
"SR-012","schema_seo","Project page keeps one H1, clean breadcrumbs, Project/Residence schema, FAQ, and internal links to city, neighborhood, guide, professionals, and tools.","canonical page ID, city/neighborhood owners, FAQ, schema data","theme SEO layer, content assembly","SEO content below showroom remains readable and not hidden by sticky UI.","Capture H1/breadcrumb and body start on mobile.","ready_to_build"
