page_id,page_role,canonical_url_pattern,primary_keyword_class,money_or_support,parent_hub,required_child_pages,data_requirements,trust_gate,priority,build_slice
home,portal_entry,/,נדלן בישראל / real estate israel,money,none,"buy,rent,projects,professionals,tools,intl","live counts, featured verified routes, updated sitemap","NEEDS_VERIFICATION",P0,Stage 2 portal shell
buy_hub,marketplace_hub,/buy,דירות למכירה,money,home,"city buy hubs, neighborhood buy hubs, listing details","real listing supply, freshness, dedupe","NEEDS_VERIFICATION",P0,Marketplace foundation
rent_hub,marketplace_hub,/rent,דירות להשכרה,money,home,"city rent hubs, neighborhood rent hubs, listing details","real rental supply, stale-listing removal","NEEDS_VERIFICATION",P0,Marketplace foundation
city_buy_hub,local_money_page,/buy/{city},דירות למכירה {city},money,buy_hub,"neighborhood buy hubs, city guide, price sqm, professionals","listing supply by city, source timestamps","NEEDS_VERIFICATION",P0,Marketplace foundation
city_rent_hub,local_money_page,/rent/{city},דירות להשכרה {city},money,rent_hub,"neighborhood rent hubs, city guide, rental yield","rental supply by city, broker/owner disclosure","NEEDS_VERIFICATION",P0,Marketplace foundation
neighborhood_buy_hub,local_money_page,/buy/{city}/{neighborhood},דירות למכירה {neighborhood},money,city_buy_hub,"listing details, neighborhood guide, project pages","listing supply, neighborhood taxonomy","NEEDS_VERIFICATION",P1,Local SEO scale
neighborhood_rent_hub,local_money_page,/rent/{city}/{neighborhood},דירות להשכרה {neighborhood},money,city_rent_hub,"listing details, neighborhood guide","rental supply, neighborhood taxonomy","NEEDS_VERIFICATION",P1,Local SEO scale
listing_detail,conversion_page,/listings/{listing_id},דירה למכירה / דירה להשכרה,money,city_or_neighborhood_hub,"agent/pro owner, calculator, compare","source, owner/broker, updated date, media rights","NEEDS_VERIFICATION",P1,Marketplace foundation
projects_hub,project_marketplace,/projects,פרויקטים חדשים,money,home,"city project hubs, area hubs, project details","verified project registry, status labels","REQUIRES_OFFICIAL_ASSET",P0,Projects foundation
projects_city_hub,project_local_page,/projects/{city},פרויקטים חדשים {city},money,projects_hub,"project details, developers, city guide","official project data, city taxonomy","REQUIRES_OFFICIAL_ASSET",P0,Projects foundation
projects_area_hub,project_local_page,/projects/{area},פרויקטים חדשים {area},money,projects_hub,"project details, area guide","official project data, map layers","REQUIRES_OFFICIAL_ASSET",P0,Projects foundation
project_detail,project_page,/projects/{project_slug},פרויקט {name},money,projects_city_hub,"showroom, inventory, surroundings, developer","developer/source URL, official/concept/missing asset state","REQUIRES_OFFICIAL_ASSET",P0,Project showroom
developer_page,directory_page,/developers/{developer_slug},יזם {name},money,projects_hub,"developer projects, trust checks, contact","official developer identity, project list","OFFICIAL_SOURCE_REQUIRED",P1,Projects foundation
