"state_id","state_name","public_label_he","trigger","required_data","allowed_primary_surface","blocked_if_missing","fallback_state","owner_acceptance_gate","screenshot_gate","priority"
"PS-001","project_identity_loaded","פרטי הפרויקט","Project page opens","project_slug, post_id, title, city, developer/source note, public_use_policy","Identity strip above the visual stage","title or source note","PS-012","Project identity is visible before buyer actions and no official claim appears without source.","Desktop first viewport and mobile first viewport.","P0"
"PS-002","asset_gate_evaluated","בדיקת חומרים","Payload loads","asset status for model, facade, poster, drawings, units, tour, map/environment","Invisible gate that chooses the honest visual state","asset status fields","PS-006","Exactly one primary asset state is chosen: official model, official facade, approved concept, or missing material.","Capture each primary asset state.","P0"
"PS-003","official_model_ready","סיור תלת-ממד רשמי","Official model URL, poster, and unit camera data pass validation","project_model_glb, project_model_poster, unit hotspot_position, hotspot_normal, camera_orbit","Interactive 3D model","model URL, poster, unit camera data, or load event","PS-007","Unit selection changes focus/camera where data exists. If the model fails, the page shows a clean unavailable state.","Desktop idle, selected unit, mobile selected unit.","P0"
"PS-004","official_facade_ready","חזית רשמית לבחירת דירה","Official facade/elevation asset is approved","project_3d_facade_images with approved=true and concept=false, viewbox, polygon/points per unit","Facade image with mapped unit areas or floor bands","approved facade image, viewbox, or unit mapping","PS-007","The facade is a real approved asset and selected unit visibly maps to the facade or floor band.","Desktop facade selected, mobile facade selected.","P0"
"PS-005","concept_visual_ready","חזית להמחשה בלבד","Only approved concept or generated planning asset exists","facade image with concept=true or public_use_policy requiring illustrative labels","Concept visual stage with visible caution copy","concept label or source note","PS-006","Concept is visibly marked as illustrative and never sold as official developer material.","Desktop concept state and mobile concept state.","P0"
"PS-006","missing_asset_request","ממתין לחומרים מהיזם","No approved visual asset exists","project identity, required asset checklist, upload/contact target","Premium missing-material state with contractor upload CTA","project identity or upload/contact path","PS-012","The page looks intentional, explains what is missing, and does not invent a facade/model/map.","Desktop missing state and mobile missing state.","P0"
"PS-007","asset_error","תצוגה זמנית לא זמינה","Model, facade, map, or tour load fails after data exists","asset URL, error code/log, user-safe message","Clean unavailable panel with retry and contact path","safe error copy","PS-006","No broken canvas, blank stage, console-only error, or hidden failure. Error is logged for admin follow-up.","Broken model, broken facade, broken map.","P0"
"PS-008","unit_selector_ready","בחירת דירה","Project has one or more units after schema validation","project_3d_units, unit id, floor, rooms, sqm, status, source_note","Unit list/table plus visual picker","units or required unit fields","PS-011","Tap targets are large, selection is stable, and unavailable units are not sold as available.","Desktop unit list and mobile selector.","P0"
"PS-009","unit_selected","דירה נבחרה","Buyer selects a unit","selected unit fields, plan/view/tour availability, price note, lead context","Selected unit card or mobile bottom sheet","unit source_note, status, price_note","PS-008","Selected unit shows floor, rooms, area, direction/view, status, source note, and next action without covering the visual stage.","Mobile bottom sheet open and desktop side card.","P0"
"PS-010","unit_plan_ready","תוכנית דירה","Selected unit has approved or illustrative plan","unit.plan, plan source, official/illustrative status","Plan tab within selected-unit panel","plan source label","PS-009","Plan is shown only with source status. Missing plan becomes an upload/request state, not a fake plan.","Plan tab desktop and mobile.","P1"
"PS-011","no_units_ready","מלאי הדירות ממתין לאישור","Project exists but unit list is empty or unapproved","project identity, developer/source, asset checklist, inquiry CTA","Unit unavailable state","clear inventory status","PS-006","The page can still sell the project but does not show invented units, prices, or availability.","No-unit desktop and mobile.","P0"
"PS-012","environment_ready","סביבה ונגישות","Environment layer has approved source data","project_3d_environment_json, source_policy, items with source_url/source_note","Map/context cards with source labels","source note or precise coordinate status","PS-013","Nearby projects, parks, transit, and services are shown only with source status and planned/live labels.","Environment tab desktop and mobile.","P1"
"PS-013","map_unavailable","מפה לא זמינה כרגע","Map token, precise coordinates, or source data is missing","safe map unavailable copy, project identity, source checklist","Map not-ready panel, not a fake map","safe fallback copy","PS-012","No fake pins or schematic pins are presented as survey coordinates.","Map unavailable desktop and mobile.","P0"
"PS-014","tour_ready","סיור פנים","Selected unit or project has approved tour/video/interior link","tour_url, video_url, interior_url, source status","Interior/tour tab","tour source and status","PS-009","Tour opens only when the link is real and sourced. Missing tour becomes a contractor asset request.","Tour tab desktop and mobile.","P1"
"PS-015","lead_ready","בדיקת התאמה ופנייה","Buyer asks to contact, save, compare, or request details","project_slug, unit id, asset state, source page, language, consent, lead destination","Lead form/WhatsApp/call path","lead routing or consent state","PS-009","Lead payload includes project and unit context, but no unsupported price or availability promise.","Lead open desktop and mobile.","P0"
