"page_id","route_pattern","index_policy","canonical_rule","robots_rule","sitemap_rule","hreflang_rule","primary_schema","secondary_schema","breadcrumb_rule","noindex_conditions","source_gate","validation_gate","priority"
"home","/","index","self canonical only","index,follow","include","he default; en alternate only when /en is live","Organization,WebSite","SearchAction only when search works","no breadcrumb required","noindex if public trust leaks exist","brand facts and search function verified","Rich Results Test, URL Inspection, screenshot","P0"
"buy_hub","/buy","index","self canonical","index,follow","include","he only until matching en route exists","CollectionPage","ItemList,BreadcrumbList","Home > דירות למכירה","noindex if no real supply and no honest empty state","real supply or clear empty-state policy","crawl, canonical, ItemList validation","P0"
"rent_hub","/rent","index","self canonical","index,follow","include","he only until matching en route exists","CollectionPage","ItemList,BreadcrumbList","Home > דירות להשכרה","noindex if no real rental supply and no honest empty state","real rental supply","crawl, canonical, ItemList validation","P0"
"city_buy_hub","/buy/{city}","conditional_index","self canonical for approved city","index,follow after supply gate","include only approved cities","en alternate only if /en/buy/{city} exists","CollectionPage","ItemList,BreadcrumbList","Home > דירות למכירה > City","noindex if thin city, no supply, duplicate city, or source date missing","city supply and source timestamps","sample city crawl and screenshot","P0"
"city_rent_hub","/rent/{city}","conditional_index","self canonical for approved city","index,follow after supply gate","include only approved cities","en alternate only if /en/rent/{city} exists","CollectionPage","ItemList,BreadcrumbList","Home > דירות להשכרה > City","noindex if thin city, no supply, stale rentals, or duplicate city","rental supply and freshness","sample city crawl and screenshot","P0"
"neighborhood_buy_hub","/buy/{city}/{neighborhood}","conditional_index","self canonical when unique supply exists","index,follow after supply gate","include only approved neighborhoods","none until matching locale exists","CollectionPage","ItemList,BreadcrumbList","Home > Buy > City > Neighborhood","noindex if duplicate city page or under minimum supply","neighborhood taxonomy and supply","crawl duplicate-title/canonical check","P1"
"neighborhood_rent_hub","/rent/{city}/{neighborhood}","conditional_index","self canonical when unique rental supply exists","index,follow after supply gate","include only approved neighborhoods","none until matching locale exists","CollectionPage","ItemList,BreadcrumbList","Home > Rent > City > Neighborhood","noindex if duplicate city page or under minimum supply","rental supply and taxonomy","crawl duplicate-title/canonical check","P1"
"listing_detail","/listings/{listing_id}","conditional_index","self canonical for verified listing","index,follow after verification","include only verified live listings","none until matching locale exists","Product,Offer only when price and availability are visible","BreadcrumbList","Home > City > Listing","noindex if stale, duplicate, missing rights, missing price where schema claims price, or unverified owner/broker","listing source, media rights, updated date","Rich Results Test and visual listing proof","P1"
"projects_hub","/projects","index","self canonical","index,follow","include","he default; en alternate when /en/projects exists","CollectionPage","ItemList,BreadcrumbList","Home > פרויקטים","noindex if project registry is empty and no honest empty state","verified project registry","crawl and screenshot","P0"
"projects_city_hub","/projects/{city}","conditional_index","self canonical for approved city","index,follow after project gate","include approved project cities","en alternate when /en/projects/{city} exists","CollectionPage","ItemList,BreadcrumbList","Home > Projects > City","noindex if thin city, no verified projects, duplicate city","verified project data and city taxonomy","crawl and screenshot","P0"
"projects_area_hub","/projects/{area}","conditional_index","self canonical for approved area","index,follow after project gate","include approved areas","none until matching locale exists","CollectionPage","ItemList,BreadcrumbList","Home > Projects > Area","noindex if area duplicates city or lacks verified projects","verified project data and map layer","crawl and screenshot","P0"
"project_detail","/projects/{project_slug}","conditional_index","self canonical for verified project","index,follow after official source gate","include verified public projects","en alternate when English project page exists","Article or WebPage","Product/Offer only for visible real unit offers; BreadcrumbList","Home > Projects > Project","noindex if unofficial, missing source, fake assets, or legal status unknown","developer source, asset rights, status labels","Rich Results Test and project screenshot","P0"
"developer_page","/developers/{developer_slug}","conditional_index","self canonical for verified developer","index,follow after identity gate","include verified developers","none until matching locale exists","Organization","ItemList,BreadcrumbList","Home > Developers > Developer","noindex if developer identity or project list is unverified","official developer identity","schema validation and screenshot","P1"
"showroom_3d","/projects/{project_slug}/showroom","conditional_index","canonical to showroom only when public content is crawlable; otherwise project detail","index,follow only if textual content and assets are real","include only approved showroom pages","en alternate when English showroom exists","WebPage","BreadcrumbList; Product/Offer only for visible real units","Home > Project > Showroom","noindex if canvas-only, fake GLB, missing asset truth, or no crawlable content","official assets and source notes","screenshot, rendered text, schema validation","P0"
"valuation_tool","/property-value-estimator","conditional_index","self canonical after methodology gate","index,follow after legal/methodology gate","include after reviewed methodology","none until matching locale exists","WebApplication or WebPage","BreadcrumbList","Home > Tools > Valuation","noindex if formula/source/confidence range missing","methodology and source dates","tool result screenshot and source review","P0"
"price_sqm_city","/market/{city}/price-per-sqm","conditional_index","self canonical for approved city","index,follow after official source gate","include approved cities","none until matching locale exists","Dataset or Article only if data is visible and sourced","BreadcrumbList","Home > Market > City > Price","noindex if data stale, unsourced, or duplicate market page","official transaction source","crawl, source date, screenshot","P0"
"market_report_city","/market/{city}","conditional_index","self canonical for approved report","index,follow after source gate","include approved reports","none until matching locale exists","Article","Dataset only if data table is visible; BreadcrumbList","Home > Market > City","noindex if no current data or source date","official data sources","schema validation and screenshot","P1"
"rental_yield_tool","/rental-yield-calculator","conditional_index","self canonical after methodology gate","index,follow after legal/methodology gate","include after reviewed methodology","en alternate when /en/invest/rental-yields exists","WebApplication or WebPage","BreadcrumbList","Home > Tools > Yield","noindex if assumptions or disclaimers missing","rent/price assumptions and review","tool screenshot and source review","P0"
"mortgage_calculator","/mortgage-calculator","conditional_index","self canonical after finance review","index,follow after finance gate","include after reviewed assumptions","en alternate when /en/tools/mortgage-calculator exists","WebApplication or WebPage","BreadcrumbList","Home > Tools > Mortgage","noindex if assumptions, disclaimer, or review missing","finance source and advisor review","tool screenshot and review note","P0"
"purchase_tax_calculator","/purchase-tax-calculator","conditional_index","self canonical after tax review","index,follow after tax gate","include after reviewed formula","en alternate when /en/tools/purchase-tax-calculator exists","WebApplication or WebPage","BreadcrumbList","Home > Tools > Purchase Tax","noindex if brackets/source date/review missing","Tax Authority rules and legal review","tool screenshot and source review","P0"
"professionals_hub","/professionals","index","self canonical","index,follow","include","none until matching locale exists","CollectionPage","ItemList,BreadcrumbList","Home > Professionals","noindex if directory policy or disclosure missing","verification policy","crawl and screenshot","P0"
"professional_category","/professionals/{category}","conditional_index","self canonical for approved category","index,follow after verification policy","include approved categories","en alternate for English professional categories","CollectionPage","ItemList,BreadcrumbList","Home > Professionals > Category","noindex if no verified profiles or disclosure missing","credentials policy","crawl and screenshot","P0"
"professional_city_category","/professionals/{category}/{city}","conditional_index","self canonical for approved city/category","index,follow after profile supply gate","include approved combinations","en alternate when route exists","CollectionPage","ItemList,BreadcrumbList","Home > Professionals > Category > City","noindex if thin duplicate, no verified profiles, or no disclosure","profile supply and credentials","duplicate/canonical crawl check","P1"
"professional_profile","/professionals/{category}/{profile_slug}","conditional_index","self canonical for verified profile","index,follow after profile verification","include verified profiles","none until matching locale exists","LocalBusiness or ProfessionalService only when data is verified","BreadcrumbList","Home > Professionals > Category > Profile","noindex if license/consent/disclosure missing","license/contact consent/review policy","schema validation and screenshot","P1"
"urban_renewal_hub","/urban-renewal","index","self canonical","index,follow","include","none until matching locale exists","CollectionPage","Article summaries,BreadcrumbList","Home > Urban Renewal","noindex if legal disclaimer missing","planning/legal sources","crawl and screenshot","P0"
"urban_renewal_city","/urban-renewal/{city}","conditional_index","self canonical for approved city","index,follow after source gate","include approved cities","none until matching locale exists","Article or CollectionPage","ItemList,BreadcrumbList","Home > Urban Renewal > City","noindex if municipal data missing or duplicate","municipal planning data","source review and screenshot","P1"
"tama38_topic","/urban-renewal/tama-38","conditional_index","self canonical after legal review","index,follow after legal gate","include after review","en alternate when /en/urban-renewal/tama-38 exists","Article","BreadcrumbList","Home > Urban Renewal > TAMA 38","noindex if legal review missing","legal/planning source review","schema validation and screenshot","P1"
"pinui_binui_topic","/urban-renewal/pinui-binui","conditional_index","self canonical after legal review","index,follow after legal gate","include after review","en alternate when /en/urban-renewal/pinui-binui exists","Article","BreadcrumbList","Home > Urban Renewal > Pinui Binui","noindex if legal review missing","legal/planning source review","schema validation and screenshot","P1"
"intl_hub","/en","conditional_index","self canonical","index,follow after English content review","include after review","he alternate home only when content intent matches; x-default decision required","WebSite or WebPage","Organization reference,BreadcrumbList","Home > English","noindex if machine translation or legal caveats missing","English content governance","hreflang and screenshot review","P0"
"intl_buy_guide","/en/buy-property-israel","conditional_index","self canonical after legal review","index,follow after review","include after review","he alternate only if matching Hebrew guide exists","Article","BreadcrumbList","English > Buying Guide","noindex if legal/tax review missing","legal/tax review","Rich Results Test and screenshot","P0"
"intl_city_hub","/en/buy/{city}","conditional_index","self canonical for approved English city","index,follow after supply gate","include approved English cities","he alternate to /buy/{city} if equivalent","CollectionPage","ItemList,BreadcrumbList","English > City","noindex if no real supply or source disclosure","English supply/source disclosure","hreflang crawl and screenshot","P0"
"intl_tax_guide","/en/tax/foreign-buyer-purchase-tax","conditional_index","self canonical after tax review","index,follow after review","include after review","he alternate only if matching tax guide exists","Article","BreadcrumbList","English > Tax","noindex if source date or legal review missing","Tax Authority/legal review","source review and screenshot","P0"
"intl_mortgage_guide","/en/mortgage","conditional_index","self canonical after finance review","index,follow after review","include after review","he alternate only if matching guide exists","Article","BreadcrumbList","English > Mortgage","noindex if finance review missing","Bank/advisor review","source review and screenshot","P1"
"trust_center","/trust","index","self canonical","index,follow","include","none until matching locale exists","WebPage","ItemList,BreadcrumbList","Home > Trust","noindex if policy pages are missing or vague","editorial/verification policy","crawl and screenshot","P0"
"comparison_yad2_madlan","/compare/yad2-vs-madlan-vs-nadlan","conditional_index","self canonical after editorial/legal review","index,follow after review","include after review","none until matching locale exists","Article","BreadcrumbList","Home > Compare","noindex if competitor claims are unsourced","editorial/legal review","source review and screenshot","P0"
"fake_listing_guide","/trust/fake-real-estate-listings","conditional_index","self canonical after legal review","index,follow after review","include after review","none until matching locale exists","Article","BreadcrumbList","Home > Trust > Fake Listings","noindex if legal wording or evidence missing","legal/evidence review","schema validation and screenshot","P1"
