"platform","segment","access_state","list_to_detail","map_selected_details","gallery_fullscreen_back","availability_floor_stack","area_amenity_layers","commute_traffic_transit","price_comps_history","disclosures_confidence","office_infrastructure_fitout","contact_lead","mobile_sticky","compare_save_share","missing_data_pattern","evidence_type","primary_urls","access_date","nadlan_takeaway"
"Zillow","Residential","Direct property page blocked with HTTP 403/denial; official help and indexed detail content accessible","[Official] Search by location with list/map, property filters, custom boundary, school layer and saved-search updates","[Official] Search result context is map-driven; draw boundary and map type/school controls documented","[Indexed] Property details expose media, but fullscreen/Back was not directly verified in this audit","Not applicable to commercial floor stacks","[Official] Schools and boundary layers; rich home-feature filters","[Official] User sets destination and mode: walk, bike, transit or car; rush/off-peak driving documented","[Official + Indexed] Zestimate with methodology/limitations and up to 10-year history when data exists; listing price and public tax history","[Official] Zestimate is an estimate rather than appraisal; method and limits are explained","Not a commercial fit-out product","[Indexed] Property contact paths exist; no form submitted or routing verified","[Official] Mobile property filters documented; sticky property CTA not directly verified","[Official] Save searches and receive updates; property save/share not directly tested","[Official] Estimate limitations are explicit; per-field missing-data request pattern not observed","Official documentation + current indexed content; direct page blocked","https://zillow.zendesk.com/hc/en-us/articles/227953268-How-do-I-search-for-properties | https://www.zillow.com/news/zillows-commute-time-filter/ | https://www.zillow.com/zestimate/ | https://www.zillow.com/homedetails/70-Barrensdale-Dr-Severna-Park-MD-21146/36065110_zpid/","2026-08-10","Adopt personalized commute, saveable map state and transparent estimate history; keep commercial needs separate"
"Compass","Residential","Live direct property, media dialog and 390x844 mobile layout observed","[Live] Detail uses persistent anchored sections: Overview, Location, History, Public Records, Schools, Similar Homes and Nearby Values; list transition not tested","[Live] Map and Street View available; exact selected-pin/list synchronization not tested","[Live] Photo count opens media dialog retaining address/price/facts plus Photos, Virtual Tour, Floor Plan, Map and Street View; Close restores detail","No commercial stack; building floor/story facts and a unit floor plan are present","[Live] Amenities, building facts, schools, similar homes and nearby values","[Live] Location includes Add your commute; traffic/rush-hour output not tested","[Live] Sold price, $/sqft, taxes, common charges, payment calculator, event/source/price history, public ACRIS record, similar/nearby values","[Live] Measurements/condition should be independently verified; photos may be staged/enhanced; data not guaranteed; sources identified","Residential property and building facts only; no office MEP/fit-out schema","[Live] Named agents and Inquire About Property; no form submitted","[Live] At 390x844 an inquiry action sits in a fixed full-width bottom ancestor","[Live] Save and Share retained in detail and media","[Live] General disclosure is strong; no inline owner/SLA per missing field observed","Observed live","https://www.compass.com/homedetails/545-Washington-Ave-Unit-606-Brooklyn-NY-11238/207T3R_pid/","2026-08-10","Adopt anchored dossier and media context continuity; add floor-specific commercial availability and evidence states"
"LoopNet","Commercial office","Direct pages returned access-denied; current indexed search and details observed","[Indexed] Split list/map search; cards show availability, rate, class/year, summary, broker and virtual-tour indicators; detail opens building/space dossier","[Indexed] Map supports transit, traffic, biking and places plus drawn polygon/radius; exact selected-pin behavior not directly verified","[Indexed] Some details expose floor plan, Matterport/3D and virtual tour; modal/Back behavior not directly verified","[Indexed] Space rows expose floor/suite, min-max area, term, $/SF/year and monthly/yearly equivalents, use, condition and availability date; multi-suite examples exist","[Indexed] Building amenities, facts and walk/drive/transit/bike scores","[Indexed] Mobility scores and map traffic/transit layers; personalized door-to-door commute not observed","[Indexed] Asking rent with unit/period; no verified closed-comps workflow on public LoopNet evidence used here","[Indexed] Listing freshness/source metadata not consistently visible in snippets; direct verification blocked","[Indexed] Build-out/condition, capacity, furniture, wiring/high-speed internet, conference/AV, kitchens, security and services appear on richer listings","[Indexed] Call/Message broker actions and saved-notification patterns; no form submitted","Not directly verified because of access denial","[Indexed] Save/notifications present; robust multi-space compare not observed","[Indexed] Some listings expose unknown/limited values; per-field request/status pattern not observed","Current indexed content; direct access blocked","https://www.loopnet.com/search/office-space/usa/for-lease/ | https://www.loopnet.com/Listing/22-Cortlandt-St-New-York-NY/3938731/","2026-08-10","Use space-level availability rows as minimum; add verified-at, evidence owner, all-in NIS cost and inline question resolution"
"CoStar","Commercial office intelligence","Full application paid/gated; public official product and help documentation assessed","[Official] Lease Comps results have list, analytics and map tabs; detail supports previous/next/jump and structured tabs","[Official] Map result mode documented; exact public selected-item drawer not observed","[Official] Images and 3D/floorplan assets described; current viewer/back behavior not observed","[Official] Property/space availability, tenants and stacking plan documented","[Official] Property amenities, market/submarket analytics and property records described","[Official] Market analytics; public documentation does not establish a consumer personalized commute experience","[Official] Verified sale/lease comps with ask vs achieved, time on market, notes, parties, brokers, tax/loan/deed records and analytics","[Official] Data verification is central; listing help says listings can be removed if not updated/verified at least every 75 days","[Official] Floor plans, tenants, vacant space, rents, construction and deal context; detailed public MEP schema not established","[Official] Enterprise contact/workflow capabilities exist; anonymous lead form not assessed","Not observed","[Official] Saved searches/alerts described; compare mechanics not directly observed","[Official] Verification cadence exists; per-field missing-data request UX not observed","Official product/help documentation only","https://www.costar.com/products | https://www.costar.com/products/property-records | https://www.costar.com/products/sales-comps | https://product.costar.com/LeaseComps/Help/en-US/LC_Result_Detail.htm | https://marketingcenter-help.costar.com/article/13-article-1-for-how-to-add-edit-update-listings","2026-08-10","Adopt comp anatomy, stacking context and verification metadata; simplify for an anonymous decision journey"
"CommercialCafe","Commercial office","Direct current detail blocked by Cloudflare 403; current indexed details observed","[Indexed] Search/listing path exists; direct transition behavior not verified","[Indexed] Map behavior not directly verified","[Indexed] Property imagery present in indexed pages; fullscreen/back not verified","[Indexed] Floor, size, lease type and tentative availability appear on details","[Indexed] Property/building summaries and amenities appear; layer behavior not verified","No personalized commute evidence verified","[Indexed] Asking terms; closed comps/history not observed","Coverage/freshness confidence not established in direct UI because blocked","[Indexed] Space/floor/lease/availability fields; less fit-out depth visible than richest PropertyShark example","[Indexed] Contact action preserves property intent; no submission","Not verified","Save/share/compare not verified","[Indexed] Tentative availability labels uncertainty; no structured per-field request observed","Current indexed content; direct access blocked","https://www.commercialcafe.com/commercial-property/us/ny/new-york/600-third-avenue-2/ | https://www.commercialcafe.com/commercial-property/us/ny/new-york/69-mercer-street/","2026-08-10","Preserve selected suite in lead context; expose confidence and answer paths before requiring contact"
"PropertyShark","Commercial office and property data","Direct current detail blocked by Cloudflare 403; indexed listings and official help accessible","[Indexed + Official] Search cards show property type, lease pricing, available spaces/ranges and contact; map/spatial search documented","[Official] Maps and spatial search documented; exact selected card/pin interaction not observed","[Indexed] Images/listing media exist; fullscreen/back not verified","[Indexed] Space count/range and floor on details; stack plan not established","[Official] Zoning, land use, characteristics, maps and regional data services; current layer rendering not verified","No personalized commute pattern established","[Official] Comparables and public/property data capabilities; exact public comp UI not observed","[Official] Help notes regional data differences; current per-field source dates not directly verified","[Indexed] 405 Lexington example: 45th floor, 10,511 SF, turnkey/full build-out, sublease, 68 workstations, 4 conference rooms, 3 offices, pantries, reception, furniture, views, tenant club","[Indexed] Contact Property action; no submission","Not verified","Notes/search tools documented; save/share/compare not directly verified","[Official] Regional coverage caveat; no inline request/status per missing datum observed","Current indexed content + official help; direct access blocked","https://www.propertyshark.com/cre/office/us/ny/new-york-city/ | https://www.propertyshark.com/cre/commercial-property/us/ny/new-york/405-lexington-1/ | https://support.propertyshark.com/hc/en-us/articles/360022586511-Overview-of-PropertyShark-Services-and-Features","2026-08-10","Adopt structured test-fit/capacity and coverage caveats; attach all values to floor and evidence date"
"Rightmove","Commercial office; residential record patterns","Live commercial search, detail, media route and mobile observed; official feed/sold-price/broadband docs assessed","[Live] Commercial results show image, rent, size and detail link; opening result creates a stable detail route; saved-search/alert path visible","[Live] Detail includes map and Street View; exact search-card/pin synchronization not tested","[Live] Photo opens route-backed /media?id=photos0 viewer with Back, Photos/3D Tours, position count, share and contact","[Live] Current detail has size range and use but no floor/site plan; no multi-floor availability stack","[Live] Long building-amenity list, map, Street View, nearest stations; [Official] feed supports photos, floorplans, EPC, brochures and virtual tours","[Live] Nearest stations/distances; [Official] broadband is postcode estimate, not guarantee; personalized peak commute absent","[Live] From price and size; several rate/lease fields Ask agent; [Official] sold prices use HM Land Registry and may retain historic media","[Live] Advert not warranted by Rightmove and maintained by agent; fields can explicitly say Ask agent","[Live] Primary/other uses, amenity set; capacity/desks, EPC, lease length, parking and £/sqft were Ask agent; no decision-grade MEP","[Live] Agent enquiry plus Call/Email; no submission","[Live] Fixed 72px full-width Call/Email tray at 390px; media retains contact","[Live] Share in detail/media; saved-search/alert present; robust compare not observed","[Live] Ask agent makes gaps visible but lacks field-specific owner/SLA/status","Observed live + official documentation","https://www.rightmove.co.uk/commercial-property-to-let/London.html | https://www.rightmove.co.uk/properties/765063575843297 | https://api-docs.rightmove.co.uk/docs/property-feed-api-product/1/overview | https://www.rightmove.co.uk/house-prices","2026-08-10","Adopt stable media routes, explicit unknowns and mobile tray; replace generic Ask agent with one-click field request"
"Booking.com","Hospitality pattern reference","Live Tel Aviv property page observed","[Live] Property detail has clear identity, facilities/reviews and availability action; search transition not assessed","[Live] Nearby place content is property-scoped; selected map-pin behavior not assessed","Media/gallery was not used as primary evidence in this benchmark","Room availability exists but is not comparable to building floor availability","[Live] Categorized nearby landmarks with readable distances; facilities and review context; OpenStreetMap attribution","[Live] Nearby and public-transport question/context; no office-specific peak commute","Nightly hospitality pricing only; no property comps/history relevance","Distance attribution visible; hospitality availability/pricing caveats differ from sale/lease diligence","Facilities are guest-oriented, not office infrastructure","[Live] See availability; no form submitted","Not used as evidence","Save/share not assessed","Availability and questions guide user; no commercial missing-data workflow","Observed live","https://www.booking.com/hotel/il/dan-tel-aviv.en-gb.html","2026-08-10","Adopt named, categorized nearby places with distance/source; do not import hospitality ratings as diligence proof"
"Airbnb","Hospitality map/media/accessibility pattern reference","Official help documentation assessed; live listing not used as evidence","[Official] Search/filter and map/place behavior documented","[Official] Selecting/saving a place can preserve it in map/itinerary with time/distance from stay","[Official] Interior/exterior/neighborhood photo guidance; verified accessibility images and Matterport-derived 2D plan where available","Not relevant to commercial floor stack","[Official] Structured amenity and accessibility categories","[Official] Time/distance from saved places; not an office traffic diligence model","No sale/lease comps/history relevance","[Official] Accessibility evidence and host approval provide proof pattern; not title/financial confidence","Not office fit-out","Host contact exists generally but was outside assessed evidence","Not assessed","[Official] Saved places; property compare not relevant","[Official] Accessibility proof exists; no commercial per-field request pattern","Official help documentation only","https://www.airbnb.com/help/article/4192 | https://www.airbnb.com/help/article/3740 | https://www.airbnb.com/help/article/3282 | https://www.airbnb.com/help/article/746","2026-08-10","Use evidence-backed accessibility media and saved nearby points; not as a pricing or records benchmark"
"Yad2","Israeli residential inventory","Direct search stopped by Radware verification; indexed cards and official Yad2 tools/content assessed","[Indexed] Cards show price, location, property type, rooms, floor and sqm; project cards show ranges and starting price","[Official/Indexed] Local-information article illustrates property-context map; direct selected pin/detail behavior not verified","Listing media exists in indexed ecosystem; fullscreen/back not verified","Residential floor fact only; no live project tower/floor/unit status matrix verified","[Official] Article shows transactions, neighbors, schools/kindergartens and public transport; Yadata accepts POI/transport/property features","Local transit context exists; personalized commute/traffic not verified","[Official] Yadata valuation; Yzer demand/trends, new/resale listings, recent transactions and planning; accuracy caveat","[Official] Yzer accuracy not guaranteed; current card source/freshness not directly verified","Not a verified office fit-out benchmark","Contact paths exist in marketplace but no live routing test","Not verified","Marketplace favorites/alerts likely but not claimed without direct evidence","[Official] Accuracy caveat; no one-click request for a specific missing field established","Current indexed content + official Yad2 properties/tools; direct access blocked","https://www.yad2.co.il/realestate/forsale?page=1 | https://magazine.yad2.co.il/real-estate/%D7%A7%D7%95%D7%A0%D7%99%D7%9D-%D7%97%D7%9B%D7%9D-%D7%9B%D7%9C-%D7%94%D7%9E%D7%99%D7%93%D7%A2-%D7%91%D7%93%D7%A8%D7%9A-%D7%9C%D7%A7%D7%A0%D7%95%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9E%D7%97%D7%9B%D7%94/23321 | https://yadata.yad2.co.il/property-valuation | https://yzer.yad2.co.il/","2026-08-10","Match familiar compact facts, then exceed them with English explanations, evidence freshness, all-in costs and synchronized floor status"
