"fact_id","category","field","current_value","status","source_type","source_owner","source_url","source_date_or_version","accessed_on","confidence","contradiction_or_risk","answer_owner","document_or_api_needed","website_action","priority"
"park-001","identity","project_name","THE PARK","owner_disclosed","owner marketing","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","None for project name","Amot and Allied","Joint project identity sheet","Use as display name; retain immutable internal building ID","P0"
"park-002","identity","development_parties","Allied Real Estate and Amot; Amot statutory presentation reports 50% company share","verified_primary_disclosure","owner statutory filing","Amot","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","Q1 2026 investor presentation","2026-08-10","high","Does not establish leasing authority or authorised signatory","Amot and Allied","Ownership and authorised-leasing-signatory certificate","Show both parties and name the commercial counterparty only after confirmation","P1"
"park-003","identity","street_address_allied","HaLehi 1 Bnei Brak","owner_disclosed","owner marketing","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","medium","Conflicts with Amot and retailer addresses","Amot and Allied plus Bnei Brak municipality","Legal address record with block parcel and surveyed entrance plan","Badge as conflicted; do not use as sole navigation destination","P0"
"park-004","identity","street_address_amot_hebrew","HaLehi 1-3 Bnei Brak","owner_disclosed","owner marketing","Amot","https://www.amot.co.il/assets-list/offices/amot-halehi/","live page","2026-08-10","medium","Conflicts with Allied 1 and Amot English 2","Amot and Allied plus Bnei Brak municipality","Legal address record with block parcel and entrance schedule","Badge as conflicted","P0"
"park-005","identity","street_address_amot_english","2 HaLehi Street Bnei Brak","owner_disclosed","owner project detail page","Amot","https://www.amot.co.il/en/assets/the-park-project-in-development-occupancy-target-q3-2026/","live project detail page","2026-08-10","medium","Conflicts with Allied 1 and Amot Hebrew 1-3","Amot and Allied plus Bnei Brak municipality","Legal address record and entrance plan","Do not silently choose one address","P0"
"park-006","identity","navigation_coordinate","Approximately 32.103875 34.829299 decoded from retailer Waze link","third_party_indication","retailer navigation link","Kaufman Group","https://www.kaufman-group.co.il/the-park","live page","2026-08-10","medium","Navigation point is not a legal lobby parking or accessible entrance","Building manager","Surveyed coordinates for each entrance and route","Use only as provisional map centre and label source","P0"
"park-007","identity","architect","Yaski Mor Sivan","owner_disclosed","owner marketing","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","No conflict found","Amot and Allied","Current consultant and architect appointment sheet","Show with owner-disclosed badge","P2"
"park-008","identity","project_status_allied","Under construction","owner_disclosed","owner live page","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","Conflicts with façade contractor occupied label and historic occupancy dates","Amot and Allied plus Bnei Brak municipality","Form 4 completion certificate and handover notice","Use current warning until legal status confirmed","P0"
"park-009","identity","current_legal_occupancy_status","Not publicly established for office floors","missing","research finding","Research team","","research cut-off","2026-08-10","high","Marketing move-in dates are not occupancy certificates","Amot and Allied plus Bnei Brak municipality","Full or partial Form 4 and certificate scope","Show documentation required; block move-in guarantee","P0"
"park-010","identity","block_parcel_permit_id","Not conclusively identified from stable public record","missing","municipal search","Bnei Brak Municipality","https://www.bnei-brak.muni.il/%D7%AA%D7%95%D7%A9%D7%91%D7%99%D7%9D/vadad-tichnun-bnya/request/","live locator","2026-08-10","high","An uncertain municipal match must not be guessed","Amot and Allied plus municipal engineering department","Owner parcel block and permit application ID; full building file","Keep blank and provide request action","P0"
"park-011","floors","total_floors_allied","44 floors","owner_disclosed","owner live page","Allied Real Estate","https://allied-re.co.il/project/the-park/","live page","2026-08-10","high","Conflicts with Amot 52 and statutory 45 office plus 3 retail","Owner architect and municipality","Approved as-built floor schedule","Display as conflicted; do not drive 3D IDs","P0"
"park-012","floors","total_floors_amot","52 floors","owner_disclosed","owner live page","Amot","https://www.amot.co.il/assets-list/offices/amot-halehi/","live page","2026-08-10","high","Conflicts with Allied 44 and statutory filing","Owner architect and municipality","Approved as-built floor schedule","Display as conflicted","P0"
"park-013","floors","statutory_floor_description","45 office floors above 3 retail floors","verified_primary_disclosure","owner statutory filing","Amot","https://mayafiles.tase.co.il/rpdf/1685001-1686000/P1685103-00.pdf","Q2 2025 English report","2026-08-10","high","Counting basis may differ from marketing totals and roof plant","Owner architect and municipality","Approved floor schedule mapping use and numbering","Treat as dated statutory disclosure; not selector schema","P0"
"park-014","floors","brochure_programme","42 office floors; 2 retail floors; 1 lifestyle floor; 2 roof technical floors","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 19","2026-08-10","high","Does not reconcile to brochure headline 44 or Amot 52","Owner architect","Current approved floor programme","Expose contradiction in data room; do not sum as legal count","P0"
"park-015","floors","lowzone_2023_numbering","Floors 3-11; example floor 5","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/lz.pdf","2023 upload","2026-08-10","high","2024 brochure shifts zone to floors 10-18","Owner architect and leasing team","Current signed stack plan and floor-ID crosswalk","Mark historical until reconciled","P0"
"park-016","floors","midzone_2023_numbering","Floors 12-28; example floor 18","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/mz.pdf","2023 upload","2026-08-10","high","2024 brochure shifts zone to floors 19-35","Owner architect and leasing team","Current signed stack plan and floor-ID crosswalk","Mark historical until reconciled","P0"
"park-017","floors","highzone_2023_numbering","Floors 29-44; example floor 39","owner_disclosed","owner floor-plan PDF","Allied Real Estate","https://allied-re.co.il/wp-content/uploads/2023/06/hz.pdf","2023 upload","2026-08-10","high","2024 brochure shifts zone to floors 36-51","Owner architect and leasing team","Current signed stack plan and floor-ID crosswalk","Mark historical until reconciled","P0"
"park-018","floors","lowzone_2024_numbering","Floors 10-18; brochure still labels example floor 5","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 28","2026-08-10","high","Example floor falls outside stated zone and differs from 2023 range","Owner architect and leasing team","Current signed stack and corrected plan","Do not publish click targets from brochure numbering","P0"
"park-019","floors","midzone_2024_numbering","Floors 19-35; brochure still labels example floor 17","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 29","2026-08-10","high","Example floor falls outside stated zone and differs from 2023 range","Owner architect and leasing team","Current signed stack and corrected plan","Do not publish click targets from brochure numbering","P0"
"park-020","floors","highzone_2024_numbering","Floors 36-51; example floor 39","owner_disclosed","owner brochure","Allied and Amot","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07 brochure page 30","2026-08-10","high","Range is seven levels above 2023 highzone range","Owner architect and leasing team","Current signed stack and corrected plan","Do not publish click targets from brochure numbering","P0"
