source_id,document,file,host,source_class,accessed_date,url
SRC-001,THE PARK public-source dossier,research/the-park-buyer-dossier.md,alcon.co.il,third_party_or_project_team,2026-08-10,https://alcon.co.il/projects/%D7%90%D7%9E%D7%95%D7%AA-%D7%94%D7%9C%D7%97%D7%B4%D7%99/
SRC-002,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-highzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/
SRC-003,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-lowzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/
SRC-004,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/project-office/%D7%A7%D7%95%D7%9E%D7%AA-midzone-%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-the-park/
SRC-005,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/project/the-park/
SRC-006,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/wp-content/uploads/2023/06/hz.pdf
SRC-007,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/wp-content/uploads/2023/06/lz.pdf
SRC-008,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/wp-content/uploads/2023/06/mz.pdf
SRC-009,THE PARK public-source dossier,research/the-park-buyer-dossier.md,allied-re.co.il,owner_or_project,2026-08-10,https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf
SRC-010,Competitor UX benchmark,research/competitor-benchmark.md,api-docs.rightmove.co.uk,competitor_or_platform_documentation,2026-08-10,https://api-docs.rightmove.co.uk/docs/property-feed-api-product/1/overview
SRC-011,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,apps.land.gov.il,authority_or_statutory,2026-08-10,https://apps.land.gov.il/IturTabotData/nispachim/telmer/5050583/63_2.pdf
SRC-012,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,apps.land.gov.il,authority_or_statutory,2026-08-10,https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf
SRC-013,Competitor UX benchmark,research/competitor-benchmark.md,customerfaq.rightmove.co.uk,competitor_or_platform_documentation,2026-08-10,https://customerfaq.rightmove.co.uk/support/solutions/articles/7000096792-how-do-i-make-my-property-listing-stand-out-
SRC-014,Competitor UX benchmark,research/competitor-benchmark.md,customerfaq.rightmove.co.uk,competitor_or_platform_documentation,2026-08-10,https://customerfaq.rightmove.co.uk/support/solutions/articles/7000098008-where-the-sold-house-price-data-comes-from
SRC-015,Competitor UX benchmark,research/competitor-benchmark.md,customerfaq.rightmove.co.uk,competitor_or_platform_documentation,2026-08-10,https://customerfaq.rightmove.co.uk/support/solutions/articles/7000098828-how-is-broadband-speed-calculated-
SRC-016,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,data.gov.il,authority_or_statutory,2026-08-10,https://data.gov.il/api/3/action/datastore_search?resource_id=7f467a30-58cd-44b5-86f0-d570cc7d25ad
SRC-017,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,data.gov.il,authority_or_statutory,2026-08-10,https://data.gov.il/dataset/greenbuildings
SRC-018,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,digitaler.cld.bz,third_party_or_project_team,2026-08-10,https://digitaler.cld.bz/electra-times3/25/
SRC-019,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,doctors.assuta.co.il,third_party_or_project_team,2026-08-10,https://doctors.assuta.co.il/doctor/hrhe-mendlblom-114138?readmore=true
SRC-020,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,e.data.gov.il,authority_or_statutory,2026-08-10,https://e.data.gov.il/dataset/a3cec603-dd66-49de-af14-a612754a7b9a/resource/7f467a30-58cd-44b5-86f0-d570cc7d25ad/download/7f467a30-58cd-44b5-86f0-d570cc7d25ad.csv
SRC-021,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,fliphtml5.com,third_party_or_project_team,2026-08-10,https://fliphtml5.com/dixys/rxoj/
SRC-022,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gav-yam.co.il,owner_or_project,2026-08-10,https://gav-yam.co.il/en/project/tel-aviv-tohatwo/
SRC-023,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gav-yam.co.il,owner_or_project,2026-08-10,https://gav-yam.co.il/en/the-largest-rental-deal-in-israel-google-will-rent-a-third-of-the-toha2-tower-in-tel-aviv-for-115-million-shekels-per-year/
SRC-024,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527
SRC-025,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527/query
SRC-026,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/956/query?where=1%3D1&outFields=*&f=json
SRC-027,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/OpenData
SRC-028,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/OpenData/segs_kph_monthly_Jun2026_wm/MapServer/1
SRC-029,ToHa2 public-source dossier,research/toha2-buyer-dossier.md,gisn.tel-aviv.gov.il,authority_or_statutory,2026-08-10,https://gisn.tel-aviv.gov.il/ArcGIS/rest/services/OpenData/segs_kph_monthly_Jun2026_wm/MapServer/1/query
