"fact_id","category","field","buyer_question","status","value","unit","scope","as_of","source_title","source_url","source_type","accessed","confidence","contradiction_or_caveat","answer_owner","required_document_or_api","ux_requirement"
"TH2-001","identity","project_name","What project is this?","verified","ToHa2 / ToHaTwo","","Project commonly identified by owners and project team","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","high","Spelling varies between ToHa2 and ToHaTwo; retain one canonical ID and aliases.","Amot and Gav-Yam asset management","Current project identity and brand standard","Show canonical name plus aliases; never create duplicate inventory."
"TH2-002","identity","statutory_plan","Which legal plan governs the site?","verified","507-0442822 / TA/MK/4052","","Entire statutory site","Plan document current in public portal","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","high","Permitted uses and maxima are not proof of as-built delivery.","Owner project manager and Tel Aviv planning authority","Latest permit set and as-built deviation register","Link plan ID and distinguish approved from delivered."
"TH2-003","identity","site_area","How large is the statutory site?","verified","17.399","dunam","Plan area for the mixed ToHa site","Statutory plan","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","high","Not the tower footprint and not rentable area.","Tel Aviv planning authority","Statutory plan geometry/API","Label scope beside number."
"TH2-004","identity","legal_addresses","Which addresses are legally associated with the site?","verified","Yigal Alon 114/116/118; HaShalom 1/3/5; Totzeret HaAretz 2/4/6/8","","Statutory site","Statutory plan","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","high","Legal/site addresses do not identify the operating entrance.","Owner project manager and municipality","As-built wayfinding and municipal entrance addressing","Show legal address separately from visitor entrance."
"TH2-005","identity","municipal_parcel","Which cadastral parcel contains the address points?","verified","Block 7094 parcel 142","","Municipal address points for HaShalom 1 and Yigal Alon 118","2026-08-10","Tel Aviv address GIS layer","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527","official municipal GIS","2026-08-10","high","Parcel identity does not define demise or title rights.","Municipality and owner counsel","Current title extract and parcel map","Expose source and coordinate precision."
"TH2-006","identity","reference_coordinate","Where should a neutral map pin be placed?","derived","34.795453,32.073075","longitude,latitude","Municipal HaShalom 1 address point used for research calculations","2026-08-10","Tel Aviv address query API","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527/query","official municipal GIS API","2026-08-10","high","This is an address point, not a verified pedestrian or garage entrance.","Owner project manager","Signed entrance coordinate schedule and as-built wayfinding","Call it reference point; do not route visitors here as an entrance."
"TH2-007","identity","visitor_entrance","Which entrance should a first-time visitor use?","missing","Not publicly verified","","Pedestrian visitor entrance","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Owner material uses multiple street identities and does not publish an as-built entrance itinerary.","Owner project manager and building operator","Signed as-built wayfinding plan with entrance coordinates, photos and opening date","One-click route must start at exact visitor entrance."
"TH2-008","identity","accessible_entrance","Where is the step-free public entrance?","missing","Not publicly verified","","Continuous accessible arrival route","2026-08-10","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","low","Planning accessibility intent is not an as-built journey.","Owner accessibility consultant and operator","Final accessibility certificate and continuous-route drawing","Show step-free entrance, gradients, doors, lifts and disruptions."
"TH2-009","identity","garage_entrance","Where do staff and visitors enter the garage?","missing","Not publicly verified","","Final operating garage entrance","2026-08-10","Statutory plan regulations","https://apps.land.gov.il/IturTabotData/takanonim-h/telmer/5050425.pdf","official planning document","2026-08-10","low","Plan allows ramp adjustments during design; planned location is not as-built proof.","Owner project manager and parking operator","As-built traffic/parking plan and entrance coordinates","Separate car, taxi, courier and bicycle routing."
"TH2-010","ownership","ownership_share","Who owns the project rights?","verified","Amot and Gav-Yam jointly and equally; Amot share 50%","percent","Project rights","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Does not identify exact lease-signing entity or lender consents.","Owner counsel","Ownership chart, contracting authority and title/rights report","Show owner identity but do not imply contracting authority."
"TH2-011","ownership","land_rights_term","How long do the public land rights run?","verified","Public owner material describes lease rights through 2108","year","Project land rights","2022-2025 public reporting","Amot project presentation","https://mayafiles.tase.co.il/rpdf/1628001-1629000/P1628208-00.pdf","owner/TASE presentation","2026-08-10","medium","Tenant counsel still needs current title, renewal, encumbrance and non-disturbance analysis.","Owner counsel","Current land-lease abstract, title extract and encumbrance report","Provide redacted rights summary in data room."
"TH2-012","ownership","lease_signing_entity","Which legal entity will sign my lease?","missing","Not publicly verified","","Exact premises and transaction","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","low","Joint ownership does not identify contracting vehicle or signatory authority.","Amot/Gav-Yam owner counsel","Corporate ownership chart, board authority, signatory certificate and lender consents","Display legal entity only when approved for the deal."
"TH2-013","delivery","construction_stage","What is the latest verified construction stage?","verified","Skeleton complete; envelope, finishes and systems progressing","","Entire ToHa2 project","Q1 2026 reporting","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","A live Amot marketing page still says construction will begin and is stale.","Owner project manager","Monthly certified progress report and photo log","Show current stage, report date and milestone evidence."
"TH2-014","delivery","form4_forecast","When is Form 4 expected?","verified","Expected by end of 2026","","Project-level owner forecast","Q1 2026 reporting","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","medium","Forecast is not a certificate and may change.","Owner project manager and Tel Aviv municipality","Issued Form 4, current critical path and authority tracker","Use pending/issued state, never treat forecast as approval."
"TH2-015","delivery","completion_date","When will construction complete?","contradicted","End-Aug 2026 contractor works; Oct 2026 architect; Q4 2026 owner page; Form 4 end-2026 owner report","","Different milestones and source scopes","2023-2026","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","medium","Dates may refer to works, completion, Form 4 or marketing occupancy; not normalized.","Owner project manager","Contractual milestone schedule with definitions and monthly updates","Show a milestone timeline, not one opening date."
"TH2-016","delivery","occupancy_date","When can a tenant actually operate?","owner_claim","Q1 2027 advertised occupancy/Google lease start","","Project and Google transaction","Q1 2026","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","medium","No floor-specific access, fit-out or business-opening date is public.","Owner project manager and leasing team","Floor-specific handover schedule, Form 4, early-access license and work letter","Separate early access, handover, rent start and business opening."
"TH2-017","delivery","form4_certificate","Has Form 4 been issued?","missing","No issued certificate was publicly located","","Entire ToHa2 project","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","medium","The owner forecast itself indicates it was future as of Q1 2026.","Owner project manager and municipality","Issued Form 4 / occupancy certificate with scope and date","Disable Available now until documentary status supports it."
"TH2-018","delivery","tenant_early_access","When may fit-out contractors enter?","missing","Not publicly verified","","Floor-specific tenant access","2026-08-10","Amot ToHa2 asset page","https://www.amot.co.il/en/assets/toha-2-phase-2-of-the-toha-towers-complex-estimated-occupancy-q1-2027/","owner project page","2026-08-10","low","Project occupancy date does not establish early-access rights.","Owner project manager and leasing legal team","Early-access license, logistics rules and floor milestone schedule","Show date, conditions, dependencies and delay remedies."
"TH2-019","availability","signed_share","How much of the building is under signed agreements?","verified","Approximately 45","percent of leasable area","Project-level; exact denominator and floor stack not public","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Does not reveal holds, LOIs, tenant identities or exact available floors.","Joint Amot/Gav-Yam leasing team","Current CRM stacking plan","Show project-level signed share only with as-of date."
"TH2-020","availability","available_share","How much is still available?","missing","Not safely derivable from 45% signed","","Floor/suite inventory","2026-08-10","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","low","Unsigned space may be in hold, LOI, legal negotiation, withheld, public or technical states.","Joint Amot/Gav-Yam leasing team","Timestamped CRM availability export with state taxonomy","Never calculate available as 100 minus signed."
"TH2-021","availability","available_floors","Which exact floors can I lease?","missing","No public live floor list","","Floor-by-floor","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","low","Marketing form and building total do not constitute inventory.","Joint Amot/Gav-Yam leasing team","Timestamped stacking plan with floor IDs, suite polygons, state, area and approver","Every selectable floor needs state and expiry."
"TH2-022","availability","google_area","How much space has Google committed to?","verified","Approximately 60,000","sqm","Non-partitioned office area in upper part of ToHa2","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Approximate; no public exact floor IDs or area certificate.","Joint owner leasing/legal team","Redacted executed lease stacking exhibit and area schedule","Show approximate scope, not guessed floors."
"TH2-023","availability","google_floors","Which floors are leased to Google?","missing","Upper part; owner article says roughly 24 floors but gives no IDs","","Google premises","2024-2026","Gav-Yam Google transaction article","https://gav-yam.co.il/en/the-largest-rental-deal-in-israel-google-will-rent-a-third-of-the-toha2-tower-in-tel-aviv-for-115-million-shekels-per-year/","owner transaction article","2026-08-10","low","Floor plate variation, sky lobbies and technical levels make arithmetic assignment unsafe.","Joint owner leasing/legal team","Redacted executed stacking exhibit and approved public disclosure","Mark non-public floors unavailable without inventing boundaries."
"TH2-024","availability","google_term","What is the Google lease term?","verified","10 years with one-time exit after 5 years","years","Google transaction","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","high","Does not imply the same option is available to another tenant.","Joint owner leasing team","Floor-specific approved term sheet","Label precedent, not offered term."
"TH2-025","availability","google_parking","How much parking is reserved for Google?","verified","Several hundred spaces","spaces","Google transaction","Q1 2026","Amot Q1-2026 financial statements","https://www.amot.co.il/wp-content/uploads/2026/05/Amot_financial_statements_Q1-2026.pdf","owner financial report","2026-08-10","medium","Not exact and reduces the pool available to others; location and type unknown.","Joint owner leasing and parking operator","Executed/redacted parking exhibit and current allocation matrix","Do not imply public parking equals tenant availability."
"TH2-026","floors","published_floor_count","How many total levels are there?","contradicted","75, 77 and 80 are all published","floors","Project/tower; some counts include technical and ground levels","2026-08-10","Gav-Yam ToHaTwo page","https://gav-yam.co.il/en/project/tel-aviv-tohatwo/","owner project page","2026-08-10","high","The same Gav-Yam page contains 77 in narrative and 80 in KPI; Amot says 75; planning permits 80 including technical.","Owner project manager and architect","Current permitted/as-built floor register","Do not make published total equal clickable offices."
"TH2-027","floors","approved_total_levels","What does the approved municipal scheme show?","verified","80 including ground and technical floors","floors","Approved western tower scheme","2021 design approval","Tel Aviv architectural approval protocol","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%94%D7%97%D7%9C%D7%98%D7%95%D7%AA%2021-0004%20%D7%9E%D7%99%D7%95%D7%9D%2010-2-2021.pdf","official municipal design approval","2026-08-10","high","Approval can change; total includes non-office levels.","Owner project manager and architect","Latest permit/as-built floor register","Use as approved reference only."
