"field_id","asset_types","type","required","definition","allowed_values","unit","truth_default","source_requirement","owner","refresh_rule","expiry_behavior","public_display","unknown_behavior","example"
"project.id","all","string","TRUE","Immutable browser and content contract identifier used across page model leads and evidence; serialize it as project_contract_id and never confuse it with a numeric WordPress post ID.","Non-empty stable slug or UUID","none","unknown","WordPress project record plus migration map that explicitly separates project_contract_id from wp_post_id.","Product data steward","Never changes after publication","Hard error if missing; never substitute title or numeric post ID","Yes","Disable transactional actions until a contract ID exists.","toha2-tel-aviv"
"project.marketing_name","all","localized_string","TRUE","Public marketing name.","Non-empty per locale with controlled fallback","none","unknown","Owner-approved identity sheet or official project source.","Project content owner","On brand change; review quarterly","Retain prior value in provenance history","Yes","Display Project name not verified and route correction request.","ToHa2"
"project.legal_name","all","localized_string","CONDITIONAL","Legal name of the building or registered asset.","Verified text or null when evidence.state=unknown","none","unknown","Current ownership registry statutory filing or counsel confirmation.","Owner legal counsel","Annual and on legal change","Revert to unknown when evidence expires","Yes","Do not infer from marketing name.","value=null; evidence.state=unknown"
"project.asset_type","all","enum","TRUE","Canonical runtime asset-type adapter applied to each project and selectable asset record; product family and UI applicability are separate metadata.","residential;commercial_office;retail;mixed_use;hospitality;guide_only","none","unknown","Owner-approved asset inventory; absence is represented by the truth state unknown rather than an enum value.","Product data steward","On program change","Unknown truth state blocks type-specific claims and tools","Yes","Render neutral asset language and request classification; never infer from rooms URL premium family or 3D capability.","commercial_office"
"project.ownership_parties","all","array<object>","CONDITIONAL","Legal or beneficial asset owners and disclosed shares.","Each item has legal_name share_percent source_id verified_at","percent","unknown","Registry extract or statutory disclosure plus owner confirmation.","Owner legal counsel","Quarterly and on ownership event","Mark stale and suppress definitive share total","Yes with privacy review","Show ownership not verified and request pack.","value=null; evidence.state=unknown"
"project.leasing_authority","commercial;retail","object","TRUE","Organization and role authorized to issue terms and receive commercial enquiries.","organization;role;mandate_source_id;verified_at;expires_at","none","unknown","Signed leasing mandate or authorized owner confirmation.","Owner leasing director","Monthly and on mandate event","Route to staffed commercial fallback; alert operations","Recipient category only","Do not route to an unverified private contact.","value=null; evidence.state=unknown"
"project.legal_address","all","address_object","CONDITIONAL","Address used for legal and due-diligence purposes.","country;city;street;number;postal_code;source_id","none","unknown","Municipal property record and owner confirmation.","Owner legal counsel","Annual and on municipal change","Conflict state if sources disagree","Yes","Display conflicting sourced addresses; never choose silently.","value=null; evidence.state=unknown"
"project.navigation_center","all","geo_point","TRUE","Verified current map anchor for building context; it is not a substitute for entrance-specific coordinates.","Latitude -90..90; longitude -180..180","WGS84","unknown","Surveyed owner coordinate or verified map placement.","Geo data steward","Annual and on entrance change","Set evidence.state=unknown with reason=expired; suppress public map center directions and route geometry, retaining the old coordinate only as non-current provenance history","Yes","Hide the map anchor and directions; show location not verified and offer the evidence request.","32.0000;34.0000"
"project.cadastral_ids","all","object","CONDITIONAL","Block parcel and related official property identifiers.","block;parcel;subparcel;permit_ids","none","unknown","Land registry extract and municipal building file.","Owner legal counsel","Annual and on filing change","Mark stale and block legal reliance","Controlled or public by policy","Keep blank and offer document request.","value=null; evidence.state=unknown"
"project.permitted_uses","all","array<enum>","CONDITIONAL","Building-level legally permitted uses subject to floor detail.","office;retail;residential;food;medical;lab;other","none","unknown","Current permit use schedule and counsel interpretation.","Owner counsel and architect","On permit change; annual review","Return to unknown for transaction claims","Yes as general information","State not supplied; do not infer from marketing category.","office"
"project.occupancy_status","all","enum","TRUE","Current lawful and physical building delivery state.","planned;under_construction;partially_occupied;operational;closed","none","unknown","Form 4 scope official completion certificate and owner handover evidence.","Owner project director","Weekly during delivery; quarterly when operational","Expired value becomes unknown not operational","Yes","Show Not verified and block firm move-in promise.","value=null; evidence.state=unknown"
"project.form4_document_id","all","document_ref","CONDITIONAL","Reference to lawful occupancy certificate and its covered scope.","Versioned document ID or null when evidence.state=unknown","none","unknown","Official signed Form 4 or equivalent certificate.","Owner legal counsel","On certificate event","Missing or superseded scope invalidates dependent floors","Controlled summary; file per access policy","Show lawful occupancy not verified.","value=null; evidence.state=unknown"
"project.floor_schedule_version","commercial;residential;premium","string","TRUE","Version ID for the authoritative floor-use and numbering schedule.","Non-empty revision label or null when evidence.state=unknown","none","unknown","Signed as-built or current approved stack plan.","Owner architect","On any floor numbering or program change","All dependent mappings become unknown until remapped","Yes","Disable model click-to-floor claims; retain native request path.","value=null; evidence.state=unknown"
"project.total_floor_count","all","integer","CONDITIONAL","Total building floors under a named counting basis.","Positive integer with counting_basis and source_id","floors","unknown","Approved floor schedule or clearly scoped statutory source.","Owner architect","On schedule change","Conflict badge; never silently merge counts","Yes","Display Unknown or multiple sourced counts.","value=null; evidence.state=unknown"
"project.schema_language","all","locale","TRUE","Locale emitted in page structured data.","he-IL;en-US;fr-FR;ru-RU;ar","BCP47","unknown","Rendered page locale.","SEO owner","Every render","Build failure if absent or mismatched","Machine-readable","Match HTML lang; never default foreign pages to he-IL.","en-US"
"entrance.id","all","string","CONDITIONAL","Stable identifier for one physical entrance.","Unique within project","none","unknown","Surveyed entrance schedule.","Building manager","On entrance change","Dependent routes become unknown","Yes","Do not create a generic lobby ID from project pin.","visitor_lobby"
