url,page_type,primary_keyword,secondary_keywords,audience,funnel_stage,canonical_role,schema_type,required_sources,status,next_action,owner
/,homepage,"nad-lan / נדלן","דירות למכירה, פרויקטים חדשים, מחשבון משכנתא, מס רכישה","buyers,investors,professionals","entry","national trust and product entry","WebSite,Organization","brand positioning, trust proof, current core products","NEEDS_REWRITE","rebuild hero/product board and trust sections","product"
/sde-dov/,district_hub,"רובע שדה דב","שדה דב פרויקטים, דירות בשדה דב, רובע חדש תל אביב","buyers,investors,foreign buyers","research","district source of truth","Article,FAQPage,BreadcrumbList","municipality, official project pages, public reports","LIVE_CANONICAL","refresh project links and compare table","seo"
/projects/rainbow-tel-aviv/,project,"Rainbow Tel Aviv","ריינבו תל אביב, ריינבו שדה דב, Rainbow מחיר","buyers,investors,contractors","decision","project source of truth","RealEstateListing,Product,FAQPage","developer site, project media, price sources","LIVE_CANONICAL","visual polish and official asset replacement","showroom"
/projects/dimri-yama-sde-dov/,project,"DIMRI YAMA שדה דב","דמרי ימה, YAMA TLV, דמרי ימה מחיר","buyers,foreign buyers,contractors","decision","project source of truth","RealEstateListing,Product,FAQPage","Dimri official, SdeDov.co.il, public reports","NEEDS_REWRITE","replace ugly concept with official/concept-quality asset and trace zones","showroom"
/projects/,projects_hub,"פרויקטים חדשים בישראל","פרויקטים חדשים בתל אביב, דירות מקבלן","buyers,investors","research","project index","CollectionPage","project registry","DRAFT","build after project registry is stable","seo"
/buy/,listing_hub,"דירות למכירה","דירות למכירה בישראל, דירות למכירה בתל אביב","buyers","search","inventory entry","ItemList,RealEstateListing","real inventory only","DRAFT","do not publish fake inventory","listings"
/rent/,listing_hub,"דירות להשכרה","דירות להשכרה בישראל","renters","search","inventory entry","ItemList","real inventory only","DRAFT","do not publish fake inventory","listings"
/tools/mortgage-calculator/,tool,"מחשבון משכנתא","החזר משכנתא, ריבית משכנתא","buyers,investors","tool","functional SEO hook","SoftwareApplication,FAQPage","Bank of Israel, public rate rules","DRAFT","spec and build calculator","tools"
/tools/purchase-tax-calculator/,tool,"מס רכישה 2026","מחשבון מס רכישה, מדרגות מס רכישה","buyers,investors,foreign buyers","tool/legal","lawyer E-E-A-T hook","SoftwareApplication,FAQPage","Israel Tax Authority/gov law updates","NEEDS_VERIFICATION","legal review and calculator QA","legal"
/tax-legal/purchase-tax/,guide,"מס רכישה","מס רכישה דירה ראשונה, מס רכישה משקיע","buyers,investors","legal research","canonical tax pillar","Article,LegalService,FAQPage","gov.il, tax authority, lawyer review","NEEDS_REWRITE","lawyer byline and update date","legal"
/urban-renewal/,pillar,"התחדשות עירונית","פינוי בינוי, תמא 38","owners,investors","research/legal","urban renewal pillar","Article,LegalService,FAQPage","gov, municipality, legal review","DRAFT","build legal-business pillar","legal"
/professionals/,directory,"בעלי מקצוע נדלן","עורך דין נדלן, יועץ משכנתאות, שמאי","buyers,sellers,professionals","provider selection","professional marketplace","ItemList,LocalBusiness","provider taxonomy and verification","NEEDS_REWRITE","fix taxonomy imbalance and trust UI","marketplace"
/join-pro/,b2b,"פרסום נדלן לבעלי מקצוע","לידים נדלן, אינדקס בעלי מקצוע נדלן","contractors,brokers,professionals","monetization","B2B conversion page","Service,Offer","pricing, packages, trust proof","NEEDS_REVIEW","remove internal leakage and clarify packages","growth"
/en/israel-real-estate/,international_hub,"Israel real estate","buy apartment in Israel, Tel Aviv new developments","foreign buyers","research","English hub","Article,FAQPage","legal, tax, project data","DRAFT","create foreign buyer hub","i18n"
/fr/immobilier-israel/,international_hub,"immobilier Israel","acheter appartement Tel Aviv, investissement Israel","French foreign buyers","research","French hub","Article,FAQPage","legal, tax, project data","DRAFT","create French buyer hub","i18n"
/ru/israel-real-estate/,international_hub,"недвижимость Израиль","купить квартиру Тель-Авив","Russian foreign buyers","research","Russian hub","Article,FAQPage","legal, tax, project data","DRAFT","create Russian buyer hub","i18n"
/ar/israel-real-estate/,international_hub,"عقارات إسرائيل","شراء شقة تل أبيب","Arabic buyers/investors","research","Arabic hub","Article,FAQPage","legal, tax, project data","DRAFT","create Arabic buyer hub","i18n"
