claim,source_url,date
"THE PARK is jointly owned by Amot and Allied in equal 50 percent shares","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot currently presents the project address as 1-3 HaLehi Street Bnei Brak","https://www.amot.co.il/assets-list/offices/amot-halehi/","2026-08-08"
"Allied currently presents the project address as 1 HaLehi Street Bnei Brak","https://allied-re.co.il/project/the-park/","2026-08-08"
"Amot's first-quarter 2026 report describes final office-floor finishing works and marketing with completion during 2026","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot's current construction-project list gives an approximate Q3 2026 occupancy target","https://www.amot.co.il/assets-list/in-progress/","2026-08-08"
"The Q1 2026 investor presentation gives an estimated project cost of about NIS 1.3 billion","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","2026-05-12"
"Amot's project page gives an estimated project cost of about NIS 1.4 billion creating a public-source conflict","https://www.amot.co.il/assets-list/offices/amot-halehi/","2026-08-08"
"The Q1 2026 investor presentation forecasts annual NOI of about NIS 92 million at full occupancy","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","2026-05-12"
"The Q1 2026 investor presentation forecasts a 7.1 percent yield at full occupancy","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740687-00.pdf","2026-05-12"
"About 13,000 sqm of retail had been contracted for about NIS 22 million annual rent at the whole-partnership level","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"The Amot report says the retail floors had been delivered and opened","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot reports about 100,000 sqm above ground and 86,920 sqm of above-ground leasable area","https://mayafiles.tase.co.il/rpdf/1740001-1741000/P1740679-00.pdf","2026-05-12"
"Amot's project page presents about 75,000 sqm for lease including 62,000 sqm offices and 13,000 sqm retail creating a scope conflict","https://www.amot.co.il/assets-list/offices/amot-halehi/","2026-08-08"
"The official 2024 marketing brochure presents about 80,000 gross sqm of offices and about 10,300 gross sqm of retail","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"Public project sources count floors differently: Amot presents 52 while Allied presents 44","https://www.amot.co.il/assets-list/offices/amot-halehi/","2026-08-08"
"The 2024 marketing brochure presents 42 office floors two retail floors one lifestyle floor and two roof technical floors","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"MYS describes the master plan and all-zone lift concept while also using a different floor-count scope","https://m-y-s.com/The-Park","2026-08-08"
"The project architect is MYS Architects and the brochure also credits Oded Halaf","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"The current brochure presents Low Zone floors 10-18 at about 2,620 gross sqm per typical floor","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"The current brochure presents Mid Zone floors 19-35 at about 1,800 gross sqm per typical floor","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"The current brochure presents High Zone floors 36-51 at about 1,740 gross sqm per typical floor","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"The separate older Low Zone plan uses floors 3-11 and therefore conflicts with the later brochure's numbering","https://allied-re.co.il/wp-content/uploads/2023/06/lz.pdf","2023-06-01"
"The separate older Mid Zone plan uses floors 12-28 and therefore conflicts with the later brochure's numbering","https://allied-re.co.il/wp-content/uploads/2023/06/mz.pdf","2023-06-01"
"The separate older High Zone plan uses floors 29-44 and therefore conflicts with the later brochure's numbering","https://allied-re.co.il/wp-content/uploads/2023/06/hz.pdf","2023-06-01"
"The marketing brochure presents about 1,000 parking spaces across four underground levels with EV motorcycle and bicycle provisions","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"The brochure markets a planned lifestyle offer including gym studios changing rooms showers and lounge","https://allied-re.co.il/wp-content/uploads/2024/06/Marketing-pres.-The-park_07.05.24.pdf","2024-05-07"
"Alcon describes a closed double-skin curtain wall rounded facade details cable-wall work and honeycomb concrete elements","https://alcon.co.il/projects/%D7%90%D7%9E%D7%95%D7%AA-%D7%94%D7%9C%D7%97%D7%B4%D7%99/","2026-08-08"
"BG Bond describes a major continuous foundation pour and Kryton-admixture concrete work as contractor evidence","https://www.bg-bond.co.il/projects/the-park-project","2026-08-08"
"The developers market the project as designed or built to LEED Platinum standards but no final public USGBC certificate was located","https://allied-re.co.il/project/the-park/","2026-08-08"
"A live TAG listing asks NIS 75 per sqm rent and NIS 18 per sqm management for 1,000-4,000 sqm; it is not a signed deal or guaranteed inventory","https://tagassets.co.il/offices-for-rent-in-bnei-brak/offices-for-rent-in-the-park-tower/","2026-08-08"
"CBRE H1 2025 records Bnei Brak at NIS 50 per sqm Core and Shell with 85 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"Newmark Natam H2 2025 records Bnei Brak Class A average rent of NIS 69 per sqm and 90 percent occupancy","https://www.calcalist.co.il/real-estate/article/sytvebanwg","2026-04-16"
"Newmark Natam H1 2025 records Bnei Brak NIS 71.11 rent NIS 17.06 management and NIS 877.78 parking with methodology that includes a standard finish for new offices","https://www.nmrk.co.il/wp-content/uploads/2025/10/heb_no.55_one-page.26.10.pdf","2025-10-26"
"CBRE H1 2025 records the Menachem Begin axis at NIS 145 per sqm AS IS and 98 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"CBRE H1 2025 records Sarona at NIS 150 per sqm Core and Shell and 97 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
"CBRE H1 2025 records Yigal Alon at NIS 130 per sqm AS IS and 95 percent occupancy","https://mktgdocs.cbre.com/2299/6590efd8-bdfb-485e-983e-ad641f17ed12-1426915147/H1_2025_-_Market_Outlook_Nov_2.pdf","2025-11-26"
