fact_id,project_id,topic,claim_he,state,source_url,source_title,checked_at,refresh_by,publish_rule
S-001,ecocity-stricker-13-brandeis-14,identity,"הפרויקט מזוהה כ-שטריקר 13–ברנדיס 14 בתל אביב ומקודם על ידי אקו סיטי",VERIFIED_PRIMARY,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-11,"May publish with independent-site disclosure"
S-002,ecocity-stricker-13-brandeis-14,buildings,"לפי עמוד היזם: שני בניינים, 26 דירות בכל בניין",VERIFIED_PRIMARY,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-11,"Publish as developer-supplied project fact; reconfirm before launch"
S-003,ecocity-stricker-13-brandeis-14,penthouses,"לפי עמוד היזם: בפרויקט פנטהאוזים המשתרעים על קומה שלמה",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-11,"Attribute to developer; confirm affected units"
S-004,ecocity-stricker-13-brandeis-14,status,"היזם מציג סטטוס בשיווק ולקראת ביצוע",TIME_SENSITIVE,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-04,"Must be rechecked within 7 days of preview and publication"
S-005,ecocity-stricker-13-brandeis-14,occupancy,"היזם מציג אכלוס מתוכנן בשנת 2028",TIME_SENSITIVE,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-04,"Use planned/subject-to-contract language; reconfirm"
S-006,ecocity-stricker-13-brandeis-14,location,"עמוד היזם מציין את יהודה המכבי, כיכר מילאנו, הפארק ותחנת רכבת קלה כעוגני סביבה",DEVELOPER_CLAIM,https://www.ecocity.co.il/projects/stricker-13-brandeis-14,"EcoCity: Stricker 13 Brandeis 14",2026-08-28,2026-09-11,"Do not add distance or travel time"
S-007,ecocity-stricker-13-brandeis-14,transit,"בקו הירוק המתוכנן קיימת תחנה בשם יהודה המכבי",VERIFIED_PRIMARY,https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7/,"NTA: Green Line stations",2026-08-28,2026-11-28,"Future tense only; no opening date or proximity claim"
S-008,ecocity-stricker-13-brandeis-14,architect,"יפעת/גרוסברד וינציגסטר מזוהים כמתכננים במקור משני",SECONDARY_CONFIRM,https://project-tlv.info/buildings/shtriker/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%A9%D7%98%D7%A8%D7%99%D7%A7%D7%A8-13-%D7%91%D7%A8%D7%A0%D7%93%D7%99%D7%A1-14/,"Project TLV: Stricker 13 / Brandeis 14",2026-08-28,,"Do not publish until EcoCity/architect confirms exact credit"
S-009,ecocity-stricker-13-brandeis-14,floors,"מספר הקומות לא אומת ממקור ראשוני",MISSING,,,2026-08-28,,"Omit"
S-010,ecocity-stricker-13-brandeis-14,inventory,"לא התקבל מלאי דירות מאומת",MISSING,,,2026-08-28,,"Hide availability count, unit status and prices"
