"source_id","source_type","authority","title","url","source_date_or_snapshot","accessed_at","scope_used","current_fact_use","limitations"
"S001","developer page","Hagag Group","EINSTEIN TOWER","https://www.hagag-group.co.il/projects/ResidentProjects/einstein_tower","No visible publication/update date","2026-08-14","Target marketing page","Live marketing status; marketing name; Einstein–Levi Eshkol corner; 28-floor tower plus two 13-floor buildings; developer sea and proximity claims","Marketing source; no permit number, parcel schedule, unit inventory, prices, delivery date, amenity schedule, or unit-specific view evidence"
"S002","public-company filing","Hagag Group / public filing","2025 annual financial report","https://www.hagag-group.co.il/Uploads/2026/04/rln33jws7WiMM6.pdf","Reporting date 2025-12-31; published in 2026-04 directory","2026-08-14","Einstein 33A residential project, pp. 28-30","Parcel 6885/32; approximately 5,099 sqm; 215 dwellings; two 13-residential-floor buildings above a double commercial base plus a 28-floor tower; excavation/shoring; conditional permit status; Q3 2030 estimate; sales/right-holding snapshot","Company-specific and date-bounded; some table columns are difficult to parse; completion is expressly forward-looking; does not prove live unit availability or final permit issuance after reporting date"
"S003","developer page","Hagag Group","Einstein BLVD residential / Einstein 33","https://www.hagag-group.co.il/projects/ResidentProjects/%D7%94%D7%92%D7%95%D7%A9_%D7%94%D7%92%D7%93%D7%95%D7%9C_-_%D7%90%D7%99%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F_BLVD","No visible publication/update date","2026-08-14","Related target marketing page","Einstein 33 label; 28-floor tower plus two 12-floor residential buildings; 360-tour presentation pattern","Conflicts with S001/S002 on low-rise floor count; no cadastral or permit crosswalk"
"S004","municipal planning protocol","Tel Aviv-Yafo Municipality","Architectural-design committee protocol 20-0005, plan 4695(1)","https://www.tel-aviv.gov.il/Residents/Development/DocLib/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%2020-0005%20%D7%9E%D7%99%D7%95%D7%9D%201-4-20.pdf","2020-04-01","2026-08-14","Broader Einstein corner-lots design plan; planning area C / lot 33","Planning-area boundaries/parcels; 215 dwellings in area C; maximum planning heights; commercial base; parking access; pedestrian/bicycle level changes; planned public early-childhood facility/daycare classes","Planning permission/design scope, not an as-built record, sale specification, operating facility promise, or exact contractual unit entitlement"
"S005","municipal planning protocol","Tel Aviv-Yafo Municipality","Local planning subcommittee protocol, plan 4695 objections/context","https://www.tel-aviv.gov.il/Transparency/DocLib3/%D7%A4%D7%A8%D7%95%D7%98%D7%95%D7%A7%D7%95%D7%9C%20%D7%9C%D7%95%D7%A2%D7%93%D7%AA%20%D7%94%D7%9E%D7%A9%D7%A0%D7%94%20%D7%9C%D7%AA%D7%9B%D7%A0%D7%95%D7%9F%20%D7%95%D7%9C%D7%91%D7%A0%D7%99%D7%94%20%D7%9E%D7%A1%D7%A4%D7%A8%2019-0004%20%D7%91%D7%AA%D7%90%D7%A8%D7%99%D7%9A%2006-03-2019.pdf","2019-03-06","2026-08-14","Historical plan 4695 boundaries and parcel context","Shows lot-33 planning area had multiple parcels and Hagag plus others","Historical planning context; later filing and current municipal GIS control for current parcel/address statements"
"S006","municipal GIS query","Tel Aviv-Yafo Municipality","Address points on block 6885 parcel 32","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527/query?f=json&where=ms_gush%3D6885%20AND%20ms_chelka%3D32&outFields=t_ktovet_melea%2Ct_rechov%2Cms_bayit%2Cknisa%2Ct_bayit_veknisa%2Cms_gush%2Cms_chelka%2Clon%2Clat%2Cdate_import&returnGeometry=true&outSR=2039","Layer import 2026-08-13 00:46:49","2026-08-14","Current municipal address points on the filing parcel","Returns Levi Eshkol 53 and Einstein 14, 16 and 16A on parcel 6885/32","GIS address points are administrative data, not a contract schedule; spelling uses municipal Hebrew; address numbering may change before occupancy"
"S007","municipal GIS query","Tel Aviv-Yafo Municipality","Address point Einstein 18","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/527/query?f=json&where=t_rechov%3D%27%D7%90%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F%27%20AND%20ms_bayit%3D18&outFields=t_ktovet_melea%2Ct_rechov%2Cms_bayit%2Cknisa%2Ct_bayit_veknisa%2Cms_gush%2Cms_chelka%2Clon%2Clat%2Cdate_import&returnGeometry=true&outSR=2039","Layer import 2026-08-13 00:46:49","2026-08-14","Owner shorthand identity check","Returns Einstein 18 on block 6885 parcel 40, adjacent to but not the parcel 32 identified in S002","Does not prove that a marketed apartment or contract in Einstein 33A is legally addressed Einstein 18"
"S008","municipal GIS query","Tel Aviv-Yafo Municipality","Parcel attributes for block 6885 parcels 31, 32, 40 and 41","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/524/query?f=json&where=ms_gush%3D6885%20AND%20ms_chelka%20IN%20%2831%2C32%2C40%2C41%29&outFields=ms_gush%2Cms_chelka%2Cms_shetach_rashum%2Cms_shetach%2Ctr_idkun_acharon%2Cdate_import%2CShape_Area&returnGeometry=false","Layer import 2026-08-13 00:30:35; cadastral update timestamps shown in response","2026-08-14","Parcel-size and adjacency-scope check","Parcel 32 is approximately 5,099 sqm registered; parcel 40 is a separate approximately 388 sqm parcel","Municipal GIS is not a current land-registry extract and does not establish title, easements, or contractual inclusion"
"S009","transport-project page","NTA","Green Line","https://www.nta.co.il/light-rail/%D7%94%D7%A7%D7%95-%D7%94%D7%99%D7%A8%D7%95%D7%A7","No visible page update date; live page accessed 2026-08-14","2026-08-14","Future light-rail line and station list","Green Line is under development; Einstein and Levi Eshkol appear in the station list; page states only the southern segment is planned to begin operation in 2028","Does not give a binding opening date for the northern Einstein segment; project marketing must not use present-tense operational wording"
"S010","construction notice","NTA","Infrastructure works at Levi Eshkol–Einstein junction","https://www.nta.co.il/%D7%97%D7%93%D7%A9%D7%95%D7%AA/%D7%A2%D7%91%D7%95%D7%93%D7%95%D7%AA-%D7%AA%D7%A9%D7%AA%D7%99%D7%AA-%D7%91%D7%A9%D7%98%D7%97-%D7%94%D7%90%D7%AA%D7%A8-%D7%91%D7%A6%D7%95%D7%9E%D7%AA-%D7%A9%D7%93%D7%A8%D7%95%D7%AA-%D7%9C%D7%95%D7%99-%D7%90%D7%A9%D7%9B%D7%95%D7%9C-%D7%90%D7%99%D7%99%D7%A0%D7%A9%D7%98%D7%99%D7%99%D7%9F-16726/","2026-07-16 work notice","2026-08-14","Exact-junction current construction evidence","Confirms active Green Line construction activity at the named junction in July 2026","One-night work notice; does not describe all current lane closures or future work schedule"
"S011","official journey planner","Israel Ministry of Transport / public transport information","National public-transport route planner","https://route.bus.gov.il/?saveParams=true&tab=stations","Dynamic; live service","2026-08-14","Current bus/stop verification method","Use for date- and time-specific trip checks from the exact sales-office/entrance point","Dynamic beta/recommendation tool; no static route, frequency, or travel-time claim was frozen in this dossier"
"S012","municipal development page","Tel Aviv-Yafo Municipality","Sde Dov district","https://www.tel-aviv.gov.il/Residents/Development/Pages/SdeDov.aspx","Live page; includes 2025 detailed-plan status and some visibly stale forecast paragraphs","2026-08-14","Wider western development context","Wider district scale; planned mixed uses, parks, streets and Green Line; Einstein planned as an east-west connection toward the coast; substantial future construction west of the target","District-wide, not target-project entitlements; page mixes updated 2025 status with older forecast text and therefore must be read paragraph by paragraph"
"S013","municipal education guidance","Tel Aviv-Yafo Municipality","Registration for municipal education frameworks","https://www.tel-aviv.gov.il/Residents/Education/Pages/Registration.aspx","2026/27 school-year guidance visible","2026-08-14","School and kindergarten assignment rules","Assignment is based on the registered residential address; zones can change; kindergarten selection is tied to elementary registration areas; newcomers/overseas returnees need address documents","Rules are for the current school year, not a guarantee for an estimated 2030 occupancy"
"S014","municipal GIS query","Tel Aviv-Yafo Municipality","Public elementary-school zone at parcel-32 address point","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/793/query?f=json&geometry=180210.96%2C668804.12&geometryType=esriGeometryPoint&inSR=2039&spatialRel=esriSpatialRelIntersects&outFields=Shem_Moasad%2CMasad%2CZerem_Tichnun%2Cdate_import&returnGeometry=false","Layer import 2026-06-10 15:02:38","2026-08-14","Current zone at Einstein 16A point on parcel 6885/32","Returns Nofei Yam, institution code 30064, planning stream 1","Point-in-polygon result only; school-zone boundaries can change before occupancy and eligibility depends on the buyer's actual registered address"
"S015","municipal GIS query","Tel Aviv-Yafo Municipality","Schools within 2 km of parcel-32 address point, 2026/27 layer","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/769/query?f=json&geometry=180210.96%2C668804.12&geometryType=esriGeometryPoint&inSR=2039&spatialRel=esriSpatialRelIntersects&distance=2000&units=esriSRUnit_Meter&outFields=shem_mosad%2Cshem_rechov%2Cms_bait%2Ct_shlav_chinuch%2Ct_zerem%2Ct_sug_chinuch%2Cdate_import%2Cteur_shnat_limud&returnGeometry=true&outSR=2039&resultRecordCount=200","Layer import 2026-07-31 01:10:19; school year 2026/27","2026-08-14","Current nearby-school existence and derived straight-line distances","Nofei Yam elementary appears approximately 362 m straight-line from the municipal point; other schools are nearby but not asserted as assigned","Straight-line GIS measurement, not a walking route; presence and proximity do not establish future assignment, capacity, admission, quality, language support, or fit"
"S016","municipal GIS query","Tel Aviv-Yafo Municipality","Kindergartens within 1.2 km of parcel-32 address point, 2026/27 layer","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/768/query?f=json&geometry=180210.96%2C668804.12&geometryType=esriGeometryPoint&inSR=2039&spatialRel=esriSpatialRelIntersects&distance=1200&units=esriSRUnit_Meter&outFields=shem_mosad%2Cshem_rechov%2Cms_bait%2Ct_shlav_chinuch%2Ct_zerem%2Ct_sug_chinuch%2Cdate_import%2Cteur_shnat_limud%2Cshem_kitat_gan&returnGeometry=true&outSR=2039&resultRecordCount=200","Layer import 2026-07-31 01:10:19; school year 2026/27","2026-08-14","Current nearby-kindergarten existence and derived straight-line distances","Current mainstream municipal classes appear at Burla 44, Singer 1 and Amichai 1 within roughly 250-381 m straight-line of the selected point","Multiple classes share campuses; straight-line distance is not a walking route; this is not a future placement or availability promise"
"S017","municipal GIS query","Tel Aviv-Yafo Municipality","Municipal beach polygons within 4 km of parcel-32 address point","https://gisn.tel-aviv.gov.il/arcgis/rest/services/IView2/MapServer/579/query?f=json&geometry=180210.96%2C668804.12&geometryType=esriGeometryPoint&inSR=2039&spatialRel=esriSpatialRelIntersects&distance=4000&units=esriSRUnit_Meter&outFields=beach_name%2Caccessibility_desc%2Cdate_import&returnGeometry=true&outSR=2039","Underlying layer import 2021-06-28 01:32:44","2026-08-14","Sea/beach geometry check","Derived minimum straight-line distance from the Einstein 16A point to the Tel Baruch Beach polygon is approximately 975 m","Old underlying layer date; geometric distance is not a safe walking route, gate-to-sand travel time, beach operating status, or unit view evidence"
