priority,gap,why_it_matters,evidence,current_issue,proposed_change,acceptance_test,release_semantics
P0,target_sheet_and_transform,"Every later footprint facade and entrance claim depends on it",IVS005;IVS007;IVS008,"Model placement_calibration_state remains not_municipally_crosswalked","Crop planning area G from the combined design sheet; overlay parcel 32 and permit locus; record at least two control points north and residual error; retain current placement as illustration until signed","Automated check requires transform_id control_points residual/error note and source IDs before any facade is called cardinal or any footprint exact","Owner-approved illustrative massing may ship; source_cited spatial claim may not"
P0,podium_and_public_realm_rebuild,"This is the largest source-backed decision layer missing from the showroom",IVS005,"70 x 46 m generic slab; four abstract terraces; no public route","Split commerce neighborhood deck public roof two open spaces and passage/easement layers; add accessible route stairs/ramp placeholders and public/private legend","Viewer can isolate each layer; every layer has source ID status and no invented tenant; public roof route is visually continuous","Public realm/community facts; not resident amenities"
P0,facade_asymmetry_and_crown,"The current massing loses the project's strongest recognizable visual identity",IVS002;IVS003;IVS004,"Mirrored punched grids and small generic stepped boxes","Rebalance solid/glass facade ratios; build a larger asymmetric glazed terminal crown and recessed wing; reduce mirrored repetition","Side-by-side silhouette review against all three official views passes building count relative height glass/solid contrast and crown shape without copying pixels","Illustrative facade family; not contractor elevation"
P0,entrance_and_arrival_logic,"A buyer cannot currently understand how home commerce parking and public space connect",IVS005;IVS008,"No residential/commercial split; no vehicle entrance; gold canopy is unsupported","Add three interaction classes: residential arrival at tower/podium seam commercial street edge and Einstein vehicle entry; use owner-approved approximate anchors","Each selector names use and evidence level; exact point confidence is present; vehicle entry cites the protocol; no door is labeled official","Approximate point permitted; exact door claim withheld"
CLOSED,hotspot_metadata_completion,"The owner wants selectable visual demonstrations and later plan replacement",IVS002;IVS005,"Complete in the current assets: four selectable scenes resolve through three governed model anchors in HD and LOD","Retain the exact cross-contract parity gate for model spec GLB scene/mesh extras experience manifest and asset registry; replace only through a reviewed calibration version","Validator resolves all four asset IDs files hashes positions normals basis confidence ambiguity expiry and prohibited claims; independent binary inspection confirms exact core hotspot parity in HD and LOD","owner_approved_illustrative_mapping; decision_grade=false; source_cited=false; not a blocker"
P1,public_building_context,"The documented community-use building materially affects site understanding",IVS005,"Omitted","Add separate context mesh after its exact footprint is isolated; identify early-childhood treatment/daycare use and entry streets in information layer","Can be toggled independently; cannot be selected as a project amenity; has source date/status","Planned public/community use; not operating facility"
P1,parking_cutaway,"Four underground levels and entry direction are high-value buyer information",IVS005;IVS008,"Omitted","Add schematic below-grade stack and Einstein-entry route without stalls or ramp geometry","Cutaway says four levels per current permit; no stall count; model cannot be mistaken for sale plan","Permit fact plus illustrative section"
P1,balcony_continuity_check,"Planning rules conflict with the generator's two-level band gap",IVS005,"Tower bands skipped at generated levels 24 and 25","Either source the exceptional break or remove balcony semantics from the interrupted bands; add continuity test","Validator flags any balcony-family discontinuity without source_id and exception_reason","Facade planning rule only"
P1,material_semantics,"Named speculative finishes can become accidental sales claims",IVS005,"Champagne_Fins name implies an unsupported material finish","Rename neutral_vertical_fins; attach light-stone/aluminum and low-e glass as allowed planning families not supplied products","No mesh/material label asserts champagne or a manufacturer; glass planning values are stored as provenance notes","Planning envelope; contractor product unknown"
P1,poster_upgrade,"Poster is the mobile fallback and first impression",IVS002;IVS003;IVS004;IVS005,"Generic pastel slab composition","Render original three-quarter view after geometry improvements with visible two-frontage corner active public roof and stronger crown; keep model large and unobstructed","At 390 px mobile width building remains the dominant object; no labels/controls overlap it; fallback communicates count topology and public realm","Original site asset; no third-party pixels"
P2,roof_pool_application_layer,"Users may value the option but status must not be inflated",IVS005;IVS010,"No representation","Optional dated application layer in facts panel; visualize only as owner-approved concept if desired","Shows application number open date permission_num=0 and private-roof-terrace scope; hidden from verified facilities list","Application only; not approved/built/shared"
P2,fidelity_metrics,"Triangle count alone rewards repeated boxes rather than better evidence",local_validator;IVS002;IVS005,"39912 triangles passes; 79824 vertices / 13 meshes / 10 materials are measured, but source-fidelity gaps remain","Add crosswalk coverage metrics: supported components unresolved components silhouette review and hotspot provenance completeness","Release report includes triangle count plus evidence coverage and unresolved geometry list","Internal QA metric only"
